Quarter,Time,Tm,Detail,KAN,BUF
1.0,5:42,Bills,Tyler Bass 48 yard field goal,0,3
,3:05,Chiefs,Travis Kelce 11 yard pass from Patrick Mahomes (Harrison Butker kick),7,3
2.0,11:22,Bills,Stefon Diggs 4 yard pass from Josh Allen (Tyler Bass kick),7,10
,4:56,Chiefs,Travis Kelce 12 yard pass from Patrick Mahomes (Harrison Butker kick failed),13,10
3.0,1:18,Chiefs,Darrel Williams 13 yard rush (Harrison Butker kick),20,10
4.0,9:07,Chiefs,Harrison Butker 37 yard field goal,23,10
,6:34,Bills,Cole Beasley 8 yard pass from Josh Allen (Tyler Bass kick),23,17
,1:56,Chiefs,Harrison Butker 30 yard field goal,26,17
