Quarter,Time,Tm,Detail,CHI,DET
1.0,8:34,Bears,Robbie Gould 34 yard field goal,3,0
,2:38,Lions,David Akers 23 yard field goal,3,3
2.0,14:28,Lions,David Akers 31 yard field goal,3,6
,13:44,Bears,Matt Forte 53 yard rush (Robbie Gould kick),10,6
,10:19,Lions,David Akers 41 yard field goal,10,9
,6:09,Lions,Matthew Stafford 1 yard rush (David Akers kick),10,16
,5:47,Lions,Calvin Johnson 2 yard pass from Matthew Stafford (David Akers kick),10,23
,2:43,Lions,Reggie Bush 37 yard rush (David Akers kick),10,30
,0:00,Bears,Robbie Gould 28 yard field goal,13,30
3.0,9:05,Bears,Robbie Gould 25 yard field goal,16,30
,0:20,Lions,Nick Fairley 4 yard defensive fumble return (David Akers kick),16,37
4.0,8:57,Lions,David Akers 43 yard field goal,16,40
,4:00,Bears,Alshon Jeffery 14 yard pass from Jay Cutler (Alshon Jeffery pass from Jay Cutler),24,40
,0:43,Bears,Earl Bennett 10 yard pass from Jay Cutler (Brandon Marshall pass from Jay Cutler),32,40
