Unnamed: 0,CHI,DET
First Downs,18,23
Rush-Yds-TDs,16-131-1,30-159-2
Cmp-Att-Yd-TD-INT,27-47-317-2-3,23-35-242-1-1
Sacked-Yards,3-31,1-14
Net Pass Yards,286,228
Total Yards,417,387
Fumbles-Lost,2-1,4-2
Turnovers,4,3
Penalties-Yards,4-30,3-25
Third Down Conv.,1-13,2-10
Fourth Down Conv.,2-2,0-0
Time of Possession,28:11,31:49
