Quarter,Time,Tm,Detail,OAK,NWE
1.0,4:37,Raiders,Sebastian Janikowski 49 yard field goal,3,0
2.0,4:14,Patriots,Rob Gronkowski 6 yard pass from Tom Brady (Stephen Gostkowski kick),3,7
,0:00,Patriots,Stephen Gostkowski 21 yard field goal,3,10
3.0,9:39,Raiders,Sebastian Janikowski 37 yard field goal,6,10
,2:21,Raiders,Sebastian Janikowski 47 yard field goal,9,10
4.0,13:42,Patriots,Stephen Gostkowski 20 yard field goal,9,13
,6:20,Patriots,Stephen Gostkowski 36 yard field goal,9,16
