Unnamed: 0,OAK,NWE
First Downs,14,21
Rush-Yds-TDs,22-67-0,32-76-0
Cmp-Att-Yd-TD-INT,21-34-174-0-1,24-37-234-1-0
Sacked-Yards,0-0,2-13
Net Pass Yards,174,221
Total Yards,241,297
Fumbles-Lost,0-0,1-0
Turnovers,1,0
Penalties-Yards,6-49,6-59
Third Down Conv.,5-13,9-18
Fourth Down Conv.,0-0,0-1
Time of Possession,28:25,31:35
