Unnamed: 0,KAN,BUF
First Downs,16,21
Rush-Yds-TDs,24-127-2,22-111-0
Cmp-Att-Yd-TD-INT,17-29-177-0-0,29-48-259-1-0
Sacked-Yards,6-26,1-6
Net Pass Yards,151,253
Total Yards,278,364
Fumbles-Lost,2-1,3-3
Turnovers,1,3
Penalties-Yards,3-19,6-44
Third Down Conv.,3-13,7-16
Fourth Down Conv.,1-1,0-1
Time of Possession,29:18,30:42
