Quarter,Time,Tm,Detail,KAN,BUF
1.0,9:51,Bills,Chris Hogan 25 yard pass from Kyle Orton (Dan Carpenter kick),0,7
,5:24,Chiefs,Cairo Santos 36 yard field goal,3,7
2.0,7:09,Bills,Dan Carpenter 26 yard field goal,3,10
3.0,3:06,Bills,Dan Carpenter 21 yard field goal,3,13
4.0,13:30,Chiefs,Jamaal Charles 39 yard rush (Cairo Santos kick),10,13
,8:59,Chiefs,Alex Smith 8 yard rush (Cairo Santos kick),17,13
