Quarter,Time,Down,ToGo,Location,DEN,BAL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Broncos won the coin toss and deferred, Ravens to receive the opening kickoff.",,
1,15:00,,,DEN 30,0,0,"Matt Prater kicks off 75 yards, returned by Josh Wilson for 31 yards (tackle by Wesley Woodyard). Penalty on Edgar Jones: Offensive Holding, 10 yards",0.000,-0.370
1,14:53,1,10,BAL 11,0,0,Joe Flacco pass complete short right to Ray Rice for 12 yards (tackle by Mario Haggan and D.J. Williams),-0.370,0.480
1,14:10,,,,0,0,Timeout #1 by Denver Broncos,0.000,0.480
1,14:10,1,10,BAL 23,0,0,Ray Rice left end for 2 yards (tackle by Brian Dawkins),0.480,0.200
1,13:38,2,8,BAL 25,0,0,Joe Flacco pass complete deep left to Ed Dickson for 58 yards (tackle by Brian Dawkins),0.200,4.440
1,12:43,1,10,DEN 17,0,0,Joe Flacco pass incomplete short right intended for Todd Heap,4.440,3.850
1,12:35,2,10,DEN 17,0,0,Joe Flacco middle for 9 yards (tackle by D.J. Williams),3.850,4.800
1,11:56,3,1,DEN 8,0,0,Le'Ron McClain left guard for 3 yards (tackle by Justin Bannan and Kevin Vickerson),4.800,6.060
1,11:17,1,5,DEN 5,0,0,Joe Flacco middle for 4 yards (tackle by Justin Bannan),6.060,5.910
1,10:54,2,1,DEN 1,0,0,Willis McGahee left tackle for no gain (tackle by Darcel McBath and Mario Haggan),5.910,5.170
1,10:13,3,1,DEN 1,0,0,Willis McGahee left tackle for no gain (tackle by D.J. Williams),5.170,3.550
1,9:37,4,1,DEN 1,0,0,Joe Flacco sacked by Jason Hunter for -14 yards,3.550,0.220
1,9:31,1,10,DEN 15,0,0,Kyle Orton pass complete short left to Eddie Royal for 5 yards (tackle by Jameel McClain and Brandon McKinney),-0.220,0.080
1,8:50,2,5,DEN 20,0,0,Laurence Maroney left guard for no gain (tackle by Tom Zbikowski),0.080,-0.760
1,8:07,3,5,DEN 20,0,0,Kyle Orton pass complete short right to Demaryius Thomas for 10 yards (tackle by Fabian Washington),-0.760,0.940
1,7:34,1,10,DEN 30,0,0,"Eddie Royal left end for 33 yards (tackle by Tom Zbikowski). Penalty on Demaryius Thomas: Offensive Holding, 10 yards (no play)",0.940,0.280
1,7:02,1,20,DEN 20,0,0,Kyle Orton pass incomplete short right intended for Eddie Royal,0.280,-0.960
1,6:57,2,20,DEN 20,0,0,Correll Buckhalter right guard for 7 yards (tackle by Ray Lewis),-0.960,-0.690
1,6:16,3,13,DEN 27,0,0,Kyle Orton pass complete short right to Demaryius Thomas for 2 yards (tackle by Ray Lewis and Lardarius Webb),-0.690,-1.440
