Unnamed: 0,DEN,BAL
First Downs,16,28
Rush-Yds-TDs,13-39-0,47-233-4
Cmp-Att-Yd-TD-INT,23-38-314-2-0,14-25-196-0-0
Sacked-Yards,1-7,1-14
Net Pass Yards,307,182
Total Yards,346,415
Fumbles-Lost,1-1,0-0
Turnovers,1,0
Penalties-Yards,10-90,5-66
Third Down Conv.,5-13,7-13
Fourth Down Conv.,0-0,0-1
Time of Possession,23:43,36:17
