Unnamed: 0,NYJ,OAK
First Downs,20,20
Rush-Yds-TDs,24-120-0,30-127-1
Cmp-Att-Yd-TD-INT,21-47-183-1-2,20-30-283-2-1
Sacked-Yards,4-16,2-11
Net Pass Yards,167,272
Total Yards,287,399
Fumbles-Lost,3-2,2-0
Turnovers,4,1
Penalties-Yards,5-30,8-70
Third Down Conv.,7-18,5-13
Fourth Down Conv.,1-4,1-1
Time of Possession,29:04,30:56
