Quarter,Time,Tm,Detail,NYJ,OAK
1.0,10:58,Jets,John Hall 38 yard field goal,3,0
,5:48,Raiders,Sebastian Janikowski 29 yard field goal,3,3
2.0,13:44,Raiders,Zack Crockett 1 yard rush (Sebastian Janikowski kick),3,10
,0:22,Jets,Jerald Sowell 1 yard pass from Chad Pennington (John Hall kick),10,10
3.0,4:24,Raiders,Jerry Porter 29 yard pass from Rich Gannon (Sebastian Janikowski kick),10,17
4.0,14:15,Raiders,Jerry Rice 9 yard pass from Rich Gannon (Sebastian Janikowski kick),10,24
,7:55,Raiders,Sebastian Janikowski 34 yard field goal,10,27
,2:42,Raiders,Sebastian Janikowski 31 yard field goal,10,30
