Unnamed: 0,CHI,KAN
First Downs,16,23
Rush-Yds-TDs,22-84-0,34-87-3
Cmp-Att-Yd-TD-INT,17-42-198-0-2,22-30-203-1-1
Sacked-Yards,4-41,1-8
Net Pass Yards,157,195
Total Yards,241,282
Fumbles-Lost,0-0,0-0
Turnovers,2,1
Penalties-Yards,8-78,6-55
Third Down Conv.,2-15,5-13
Fourth Down Conv.,2-4,1-1
Time of Possession,25:37,34:23
