Quarter,Time,Down,ToGo,Location,CHI,KAN,Detail,EPB,EPA
2,15:00,3,7,CHI 9,0,0,Trent Green pass complete to Marc Boerigter for 7 yards (tackle by Mike Brown),3.700,6.740
2,14:22,1,2,CHI 2,0,0,Priest Holmes up the middle for 1 yard (tackle by Lance Briggs),6.740,5.910
2,13:46,2,1,CHI 1,0,6,"Priest Holmes left end for 1 yard, touchdown",5.910,7.000
2,,,,CHI 2,0,7,Morten Andersen kicks extra point good,0.000,0.000
2,,,,KAN 30,0,7,"Jason Baker kicks off 59 yards, returned by Jerry Azumah for 27 yards (tackle by Gary Stills). Penalty on Fred Jones: Low Block, 15 yards",0.000,2.460
2,13:34,1,10,KAN 47,0,7,Rex Grossman pass complete to Desmond Clark for 10 yards (tackle by Kawika Mitchell),2.460,3.120
2,12:53,1,10,KAN 37,0,7,(tackle by Jerome Woods),3.120,3.110
2,12:19,2,6,KAN 33,0,7,Anthony Thomas up the middle for -1 yards (tackle by Scott Fujita),3.110,2.280
2,11:39,3,7,KAN 34,0,7,Rex Grossman pass incomplete intended for Bobby Wade,2.280,1.060
2,11:31,4,7,KAN 34,0,7,Paul Edinger 52 yard field goal no good,1.060,-1.730
2,11:26,1,10,KAN 42,0,7,Trent Green pass complete to Johnnie Morton for 2 yards (tackle by Jerry Azumah),1.730,1.460
2,10:58,2,8,KAN 44,0,7,Trent Green pass complete to Johnnie Morton for 22 yards (tackle by Jerry Azumah),1.460,3.310
2,10:32,1,10,CHI 34,0,7,Trent Green pass complete to Tony Gonzalez for 11 yards (tackle by Bobby Gray),3.310,4.040
2,9:58,1,10,CHI 23,0,7,Priest Holmes up the middle for 8 yards (tackle by Bobby Gray),4.040,4.750
2,9:18,2,2,CHI 15,0,7,Priest Holmes left end for 4 yards (tackle by Brian Urlacher and Bobby Gray),4.750,4.840
2,8:38,1,10,CHI 11,0,7,Priest Holmes right tackle for 5 yards (tackle by Bryan Robinson),4.840,5.080
2,7:59,2,5,CHI 6,0,7,Priest Holmes left end for no gain (tackle by Brian Urlacher),5.080,4.210
2,7:14,3,5,CHI 6,0,13,"Trent Green pass complete to Eddie Kennison for 6 yards, touchdown",4.210,7.000
2,,,,CHI 2,0,14,Morten Andersen kicks extra point good,0.000,0.000
2,,,,KAN 30,0,14,"Jason Baker kicks off 70 yards, returned by Jerry Azumah for 30 yards (tackle by Gary Stills)",0.000,0.940
2,6:59,1,10,CHI 30,0,14,Rex Grossman pass complete to Stanley Pritchett for no gain,0.940,0.390
2,6:24,2,10,CHI 30,0,14,Rex Grossman pass incomplete intended for Marty Booker,0.390,-0.300
2,6:18,3,10,CHI 30,0,14,Rex Grossman pass incomplete intended for Ahmad Merritt,-0.300,-1.370
2,6:18,4,10,CHI 30,0,14,"Brad Maynard punts 36 yards, returned by Dante Hall for 13 yards (tackle by Todd McMillon)",-1.370,-2.060
2,5:56,1,10,KAN 47,0,14,(tackle by Bobby Gray),2.060,0.710
2,5:15,2,16,KAN 41,0,14,Trent Green pass complete to Priest Holmes for 5 yards (tackle by Bobby Gray),0.710,0.700
2,4:29,3,11,KAN 46,0,14,Trent Green pass incomplete intended for Johnnie Morton,0.700,-0.320
2,4:25,4,11,KAN 46,0,14,"Jason Baker punts 43 yards, returned by R.W. McQuarters for 4 yards (tackle by Derrick Blaylock). Penalty on R.W. McQuarters: Face Mask (15 Yards), 7 yards",-0.320,0.380
2,4:15,1,10,CHI 8,0,14,Anthony Thomas up the middle for 17 yards (tackle by Shawn Barber),-0.380,0.610
2,3:34,1,10,CHI 25,0,14,Anthony Thomas up the middle for 2 yards (tackle by Vonnie Holliday),0.610,0.330
2,2:53,2,8,CHI 27,0,14,Kordell Stewart pass incomplete intended for David Terrell,0.330,-0.360
2,2:49,3,8,CHI 27,0,14,"Penalty on Olin Kreutz: False Start, 5 yards (no play)",-0.360,-1.020
2,2:49,3,13,CHI 22,0,14,Kordell Stewart pass incomplete,-1.020,-1.900
2,2:49,4,13,CHI 22,0,14,Brad Maynard punts 43 yards (tackle by Warrick Holdman),-1.900,-1.800
2,2:32,1,10,KAN 43,0,14,Trent Green pass complete to Priest Holmes for 1 yard (tackle by Charles Tillman),1.800,1.390
2,2:11,2,9,KAN 44,0,14,Trent Green pass complete to Johnnie Morton for 31 yards (tackle by R.W. McQuarters),1.390,3.910
2,2:00,1,10,CHI 25,0,14,Priest Holmes up the middle for 4 yards (tackle by R.W. McQuarters),3.910,3.900
2,1:27,2,6,CHI 21,0,14,Trent Green pass incomplete intended for Dante Hall is intercepted by Jerry Azumah at CHI-24 and returned for 25 yards,3.900,-0.540
2,1:19,1,10,CHI 24,0,14,Kordell Stewart pass incomplete intended for Marty Booker,0.540,0.000
2,1:14,2,10,CHI 24,0,14,Rabih Abdullah right end for 1 yard (tackle by William Bartee),0.000,-0.560
2,1:04,,,,0,14,Timeout #1 by Kansas City Chiefs,0.000,-0.560
2,1:04,3,9,CHI 25,0,14,Kordell Stewart pass complete to Marty Booker for 17 yards (tackle by Greg Wesley),-0.560,1.730
2,0:54,,,,0,14,Timeout #1 by Chicago Bears,0.000,1.730
2,0:54,1,10,CHI 42,0,14,Kordell Stewart pass complete to Marty Booker for 26 yards (tackle by Dexter McCleon),1.730,3.450
2,0:38,,,,0,14,Timeout #2 by Chicago Bears,0.000,3.450
2,0:38,1,10,KAN 32,0,14,Kordell Stewart pass incomplete intended for David Terrell,3.450,2.900
2,0:34,2,10,KAN 32,0,14,Kordell Stewart pass complete to Rabih Abdullah for 17 yards (tackle by Shawn Barber),2.900,4.580
2,0:19,1,10,KAN 15,0,14,Kordell Stewart spiked the ball,4.580,3.950
2,0:19,2,10,KAN 15,0,14,Rabih Abdullah up the middle for 7 yards (tackle by John Browning and Shaunard Harts),3.950,4.450
2,0:12,,,,0,14,Timeout #3 by Chicago Bears,0.000,4.450
2,0:12,3,3,KAN 8,0,14,Kordell Stewart pass complete to Bobby Wade for 2 yards (tackle by Shaunard Harts),4.450,3.020
Quarter,Time,Down,ToGo,Location,CHI,KAN,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,KAN 30,0,14,"Jason Baker kicks off 73 yards, returned by Jerry Azumah for 21 yards (tackle by Quinton Caver)",0.000,0.040
3,14:53,1,10,CHI 18,0,14,Anthony Thomas up the middle for 20 yards (tackle by John Browning and Scott Fujita),0.040,1.470
3,14:09,1,10,CHI 38,0,14,Anthony Thomas up the middle for 3 yards (tackle by Eric Hicks),1.470,1.330
3,13:28,2,7,CHI 41,0,14,Anthony Thomas up the middle for 1 yard (tackle by Kawika Mitchell),1.330,0.760
3,13:28,3,6,CHI 42,0,14,"Penalty on Vonnie Holliday: Encroachment, 5 yards (no play)",0.760,1.420
3,12:22,3,1,CHI 47,0,14,Anthony Thomas up the middle for no gain (tackle by Shawn Barber),1.420,-0.260
3,11:53,4,1,CHI 47,0,14,Kordell Stewart up the middle for 2 yards (tackle by Shawn Barber),-0.260,2.190
3,11:33,1,10,CHI 49,0,14,Anthony Thomas right end for -3 yards (tackle by John Browning),2.190,1.240
3,10:51,2,13,CHI 46,0,14,Kordell Stewart pass complete to Desmond Clark for 24 yards (tackle by William Bartee),1.240,3.580
3,10:13,1,10,KAN 30,0,14,Anthony Thomas up the middle for no gain (tackle by Vonnie Holliday),3.580,3.030
3,9:35,2,10,KAN 30,0,14,Kordell Stewart pass incomplete intended for Anthony Thomas,3.030,2.340
3,9:32,3,10,KAN 30,0,14,Kordell Stewart pass incomplete intended for Bobby Wade (defended by Shaunard Harts),2.340,1.410
3,9:29,4,10,KAN 30,3,14,Paul Edinger 48 yard field goal good,1.410,3.000
3,,,,CHI 30,3,14,"Paul Edinger kicks off 58 yards, returned by Dante Hall for 26 yards (tackle by Joe Tafoya)",0.000,1.470
3,9:19,1,10,KAN 38,3,14,Trent Green pass complete to Dante Hall for no gain,1.470,0.920
3,8:38,2,10,KAN 38,3,14,Trent Green pass complete to Tony Gonzalez for 3 yards (tackle by Brian Urlacher),0.920,0.630
3,8:00,3,7,KAN 41,3,14,Trent Green sacked by Brian Urlacher for -8 yards,0.630,-1.180
3,7:32,4,15,KAN 33,3,14,"Jason Baker punts 32 yards, fair catch by R.W. McQuarters",-1.180,-1.270
3,7:25,1,10,CHI 35,3,14,Anthony Thomas left end for no gain (tackle by Shawn Barber),1.270,0.720
3,6:57,2,10,CHI 35,3,14,Kordell Stewart pass incomplete intended for Anthony Thomas,0.720,0.040
3,6:52,3,10,CHI 35,3,14,Kordell Stewart pass incomplete intended for Bobby Wade is intercepted by Scott Fujita at CHI-43 and returned for 8 yards (tackle by Rabih Abdullah),0.040,-3.250
3,6:43,1,10,CHI 35,3,14,Priest Holmes left end for 1 yard (tackle by Alfonso Boone),3.250,2.840
3,6:02,2,9,CHI 34,3,14,Priest Holmes up the middle for 4 yards (tackle by Michael Haynes),2.840,2.680
3,5:22,3,5,CHI 30,3,14,"Trent Green left end for 13 yards (tackle by Brian Urlacher). Penalty on Willie Roaf: Offensive Holding, 10 yards (no play)",2.680,1.350
3,4:48,3,15,CHI 40,3,14,Trent Green pass incomplete intended for Derrick Blaylock,1.350,0.590
3,4:44,4,15,CHI 40,3,14,Jason Baker punts 38 yards,0.590,0.380
3,4:32,1,10,CHI 2,3,14,"Penalty on Ryan Sims: Defensive Offside, 5 yards (no play)",-0.380,-0.190
3,4:03,1,5,CHI 7,3,14,Anthony Thomas right end for no gain (tackle by Ryan Sims),-0.190,-0.420
3,3:21,2,5,CHI 7,3,14,Kordell Stewart pass incomplete intended for Marty Booker is intercepted by Greg Wesley at CHI-31 and returned for 3 yards (tackle by Marty Booker),-0.420,-3.710
3,3:13,1,10,CHI 28,3,14,Trent Green pass complete to Tony Gonzalez for 17 yards (tackle by Mike Brown). Penalty on Mike Brown: Defensive Holding (Declined),3.710,4.840
3,2:50,1,10,CHI 11,3,14,Priest Holmes left end for 5 yards (tackle by Mike Brown),4.840,5.080
3,2:27,2,5,CHI 6,3,14,Priest Holmes left end for -1 yards (tackle by Warrick Holdman),5.080,3.980
3,1:47,3,6,CHI 7,3,14,Trent Green pass complete to Tony Gonzalez for 5 yards (tackle by Charles Tillman),3.980,3.250
3,1:02,4,1,CHI 2,3,20,"Priest Holmes up the middle for 2 yards, touchdown",3.250,7.000
3,,,,CHI 2,3,21,Morten Andersen kicks extra point good,0.000,0.000
3,,,,KAN 30,3,21,"Jason Baker kicks off 56 yards, returned by Jerry Azumah for 20 yards (tackle by Gary Stills)",0.000,1.200
3,0:53,1,10,CHI 34,3,21,Anthony Thomas up the middle for 11 yards (tackle by William Bartee),1.200,1.930
3,0:21,1,10,CHI 45,3,21,"Penalty on Desmond Clark: False Start, 5 yards (no play)",1.930,1.600
Quarter,Time,Down,ToGo,Location,CHI,KAN,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,15,CHI 40,3,21,Anthony Thomas up the middle for 2 yards (tackle by Montique Sharpe),1.600,0.980
4,14:19,2,13,CHI 42,3,21,Chris Chandler pass complete to Anthony Thomas for 3 yards (tackle by Dexter McCleon),0.980,0.700
4,13:40,3,10,CHI 45,3,21,Chris Chandler pass incomplete intended for Bobby Wade,0.700,-0.390
4,13:33,4,10,CHI 45,3,21,"Brad Maynard punts 49 yards, returned by Dante Hall for 1 yard (tackle by Ahmad Merritt)",-0.390,0.380
4,13:20,1,10,KAN 7,3,21,Trent Green pass incomplete intended for Omar Easy,-0.380,-0.780
4,13:17,2,10,KAN 7,3,21,Trent Green pass complete to Tony Gonzalez for 13 yards (tackle by Charles Tillman),-0.780,0.280
4,12:32,1,10,KAN 20,3,21,Derrick Blaylock right end for 10 yards (tackle by Charles Tillman),0.280,0.940
4,11:51,1,10,KAN 30,3,21,"Trent Green pass incomplete intended for Johnnie Morton. Penalty on Charles Tillman: Defensive Pass Interference, 23 yards (no play)",0.940,2.460
4,11:43,1,10,CHI 47,3,21,Larry Johnson up the middle for 6 yards (tackle by Brian Urlacher),2.460,2.720
4,10:58,2,4,CHI 41,3,21,"Trent Green pass incomplete intended for Johnnie Morton. Penalty on Jerry Azumah: Defensive Pass Interference, 7 yards, Penalty on R.W. McQuarters: Unsportsmanlike Conduct, 15 yards (no play)",2.720,4.310
4,10:50,1,10,CHI 19,3,21,Trent Green pass incomplete intended for Marc Boerigter,4.310,3.750
,,,,,,,"KAN challenged the ruling, and the play was upheld.",,
4,10:50,2,10,CHI 19,3,21,Larry Johnson left end for -1 yards (tackle by Michael Haynes),3.750,2.940
4,10:13,3,11,CHI 20,3,21,Trent Green pass incomplete intended for Marc Boerigter,2.940,2.120
4,10:13,4,11,CHI 20,3,24,Morten Andersen 38 yard field goal good,2.120,3.000
4,,,,KAN 30,3,24,"Jason Baker kicks off 66 yards, returned by Jerry Azumah for 44 yards (tackle by Omar Easy)",0.000,2.130
4,9:50,1,10,CHI 48,3,24,Chris Chandler pass complete to David Terrell for 35 yards (tackle by Shaunard Harts),2.130,4.440
4,9:20,1,10,KAN 17,3,24,Chris Chandler pass incomplete intended for Bobby Wade,4.440,3.850
4,9:19,2,10,KAN 17,3,24,Chris Chandler pass incomplete (defended by Shaunard Harts),3.850,3.070
4,9:15,3,10,KAN 17,3,24,--,3.070,1.800
4,8:37,4,18,KAN 25,3,24,--,1.800,-1.140
4,8:34,1,10,KAN 33,3,24,Larry Johnson up the middle for 1 yard (tackle by Tron LaFavor),1.140,0.730
4,8:00,2,9,KAN 34,3,24,Larry Johnson left end for 5 yards (tackle by R.W. McQuarters and Warrick Holdman),0.730,0.700
4,7:19,3,4,KAN 39,3,24,Todd Collins pass complete to Johnnie Morton for 15 yards,0.700,2.520
4,6:46,1,10,CHI 46,3,24,"Todd Collins for no gain. Penalty on Todd McMillon: Defensive Holding, 5 yards",2.520,2.850
4,5:41,1,10,CHI 41,3,24,Larry Johnson for 1 yard (tackle by Brian Urlacher),2.850,2.440
4,5:31,2,9,CHI 40,3,24,Todd Collins pass complete to Bill Baber for 20 yards (tackle by Charles Tillman),2.440,4.240
4,5:06,1,10,CHI 20,3,24,Todd Collins pass complete to Johnnie Morton for 6 yards (tackle by Jerry Azumah),4.240,4.640
4,4:30,2,4,CHI 14,3,24,Larry Johnson right end for 9 yards (tackle by Charles Tillman),4.640,6.060
4,3:50,1,5,CHI 5,3,30,"Larry Johnson right end for 5 yards, touchdown",6.060,7.000
4,,,,CHI 2,3,31,Morten Andersen kicks extra point good,0.000,0.000
4,,,,KAN 30,3,31,"Jason Baker kicks off 69 yards, returned by Jerry Azumah for 26 yards (tackle by Larry Johnson)",0.000,0.740
4,3:32,1,10,CHI 27,3,31,Chris Chandler pass incomplete intended for Marty Booker,0.740,0.200
4,3:28,2,10,CHI 27,3,31,"Chris Chandler pass incomplete intended for Marty Booker. Penalty on Scott Fujita: Personal Foul, 15 yards",0.200,1.730
4,3:23,1,10,CHI 42,3,31,Chris Chandler pass complete to Marty Booker for 11 yards (tackle by William Bartee),1.730,2.460
4,3:00,1,10,KAN 47,3,31,Chris Chandler pass incomplete intended for Marty Booker,2.460,1.910
4,2:54,2,10,KAN 47,3,31,Chris Chandler pass incomplete intended for David Terrell (defended by Jerome Woods),1.910,1.220
4,2:48,3,10,KAN 47,3,31,Chris Chandler pass complete to Marty Booker for 23 yards (tackle by Julian Battle). Penalty on Julian Battle: Defensive Pass Interference (Declined),1.220,3.970
4,2:41,1,10,KAN 24,3,31,Chris Chandler pass incomplete (defended by Julian Battle),3.970,3.430
4,2:38,2,10,KAN 24,3,31,Chris Chandler pass complete to David Terrell for 6 yards (tackle by Quinton Caver),3.430,3.570
4,2:12,3,4,KAN 18,3,31,Chris Chandler pass complete to Bobby Wade for 3 yards (tackle by Jerome Woods),3.570,2.590
4,2:07,4,1,KAN 15,3,31,Chris Chandler up the middle for 4 yards (tackle by Scott Fujita),2.590,4.840
4,2:00,1,10,KAN 11,3,31,Chris Chandler pass incomplete (defended by Greg Wesley),4.840,4.140
4,1:55,2,10,KAN 11,3,31,Chris Chandler sacked by Eric Hicks for -7 yards,4.140,2.680
4,1:40,,,,3,31,Timeout #1 by Chicago Bears,0.000,2.680
4,1:40,3,17,KAN 18,3,31,Chris Chandler pass incomplete intended for David Terrell,2.680,2.250
4,1:35,4,17,KAN 18,3,31,Chris Chandler pass incomplete intended for Marty Booker,2.250,-0.040
4,1:25,1,10,KAN 18,3,31,Todd Collins kneels for -1 yards,0.040,-0.650
4,0:51,2,11,KAN 17,3,31,Todd Collins kneels for no gain,-0.650,-1.340
4,0:21,3,11,KAN 17,3,31,Todd Collins kneels for -1 yards,-1.340,-2.390
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
