Unnamed: 0,LVR,LAR
First Downs,17,20
Rush-Yds-TDs,38-165-1,22-71-1
Cmp-Att-Yd-TD-INT,11-20-137-0-2,22-35-230-1-0
Sacked-Yards,0-0,4-19
Net Pass Yards,137,211
Total Yards,302,282
Fumbles-Lost,0-0,1-1
Turnovers,2,1
Penalties-Yards,7-94,7-60
Third Down Conv.,5-13,4-12
Fourth Down Conv.,1-1,1-1
Time of Possession,30:21,29:39
