Quarter,Time,Tm,Detail,LVR,LAR
1.0,9:13,Raiders,Josh Jacobs 1 yard rush (Daniel Carlson kick),7,0
,2:22,Raiders,Daniel Carlson 52 yard field goal,10,0
,0:06,Rams,Matt Gay 55 yard field goal,10,3
2.0,9:40,Raiders,Daniel Carlson 31 yard field goal,13,3
4.0,12:20,Raiders,Daniel Carlson 36 yard field goal,16,3
,3:19,Rams,Cam Akers 1 yard rush (Matt Gay kick),16,10
,0:09,Rams,Van Jefferson 23 yard pass from Baker Mayfield (Matt Gay kick),16,17
