Quarter,Time,Down,ToGo,Location,LVR,LAR,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Rams won the coin toss and deferred, Raiders to receive the opening kickoff.",,
1,15:00,,,LAR 35,0,0,"Matt Gay kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,LVR 25,0,0,Josh Jacobs up the middle for 4 yards (tackle by Michael Hoecht),0.610,0.600
1,14:24,2,6,LVR 29,0,0,Josh Jacobs up the middle for 1 yard (tackle by Greg Gaines and Leonard Floyd),0.600,0.040
1,13:42,3,5,LVR 30,0,0,"Derek Carr pass complete deep right to Davante Adams for 32 yards (tackle by Jalen Ramsey). Penalty on Jalen Ramsey: Defensive Pass Interference, 15 yards (declined)",0.040,3.050
1,13:14,1,10,LAR 38,0,0,Josh Jacobs up the middle for 1 yard (tackle by Greg Gaines),3.050,2.640
1,12:50,2,9,LAR 37,0,0,Derek Carr pass incomplete short right intended for Mack Hollins,2.640,1.950
1,12:46,3,9,LAR 37,0,0,Derek Carr pass complete short left to Ameer Abdullah for 13 yards (tackle by Bobby Wagner),1.950,3.970
1,12:09,1,10,LAR 24,0,0,"Zamir White right tackle for 1 yard (tackle by Troy Hill and Bobby Wagner). Penalty on Marquise Copeland: Illegal Use of Hands / Defense, 5 yards (accepted)",3.970,4.370
1,11:46,1,10,LAR 18,0,0,Josh Jacobs left end for 2 yards (tackle by Marquise Copeland),4.370,4.090
1,11:04,2,8,LAR 16,0,0,Derek Carr scrambles right end for 3 yards (tackle by Troy Hill),4.090,3.820
1,10:29,3,5,LAR 13,0,0,Josh Jacobs left end for 11 yards (tackle by Cobie Durant and Jalen Ramsey),3.820,6.740
1,9:55,1,2,LAR 2,0,0,Josh Jacobs up the middle for 1 yard (tackle by Jalen Ramsey and Bobby Wagner),6.740,5.910
1,9:17,2,1,LAR 1,6,0,"Josh Jacobs right tackle for 1 yard, touchdown",5.910,7.000
1,9:13,,,LAR 15,7,0,Daniel Carlson kicks extra point good,0.000,0.000
1,9:13,,,LVR 35,7,0,"Daniel Carlson kicks off 57 yards, returned by Brandon Powell for 19 yards (tackle by Isaiah Pola-Mao and Roderic Teamer)",0.000,1.070
1,9:09,1,10,LAR 32,7,0,Cam Akers left tackle for 9 yards (tackle by Clelin Ferrell and Sam Webb),1.070,1.740
1,8:30,2,1,LAR 41,7,0,Cam Akers right tackle for no gain (tackle by Jerry Tillery),1.740,1.030
1,7:50,3,1,LAR 41,7,0,Tutu Atwell right end for -6 yards (tackle by Maxx Crosby),1.030,-1.040
1,7:11,4,7,LAR 35,7,0,"Riley Dixon punts 65 yards, touchback.",-1.040,-0.280
1,7:03,1,10,LVR 20,7,0,"Derek Carr pass complete to Josh Jacobs for no gain. Penalty on Bobby Wagner: Defensive Holding, 5 yards (accepted) (no play)",0.280,0.610
1,6:37,1,10,LVR 25,7,0,Derek Carr pass incomplete short middle intended for Davante Adams (defended by Jalen Ramsey),0.610,0.060
1,6:32,2,10,LVR 25,7,0,Mack Hollins left end for 17 yards (tackle by Nick Scott),0.060,1.730
1,5:53,1,10,LVR 42,7,0,Josh Jacobs left tackle for 3 yards (tackle by Greg Gaines and Daniel Hardy),1.730,1.590
1,5:12,2,7,LVR 45,7,0,Derek Carr pass complete short right to Mack Hollins for 15 yards (tackle by Nick Scott),1.590,2.920
1,4:28,1,10,LAR 40,7,0,Josh Jacobs right guard for 4 yards (tackle by Bobby Brown and Bobby Wagner),2.920,2.910
1,3:44,2,6,LAR 36,7,0,Derek Carr pass complete short left to Jakob Johnson for 1 yard (tackle by Nick Scott),2.910,2.340
1,3:06,,,,,,Timeout #1 by Las Vegas Raiders,,
1,3:06,3,5,LAR 35,7,0,Josh Jacobs up the middle for 1 yard (tackle by Bobby Wagner),2.340,1.080
1,2:27,4,4,LAR 34,10,0,Daniel Carlson 52 yard field goal good,1.080,3.000
1,2:22,,,LVR 35,10,0,"Daniel Carlson kicks off 55 yards, returned by Brandon Powell for 24 yards (tackle by Isaiah Pola-Mao)",0.000,1.200
1,2:17,1,10,LAR 34,10,0,Baker Mayfield pass complete deep right to Van Jefferson for 21 yards (tackle by Duron Harmon),1.200,2.590
1,1:34,1,10,LVR 45,10,0,Baker Mayfield scrambles left end for 6 yards (tackle by Tyler Hall),2.590,2.850
1,0:56,2,4,LVR 39,10,0,Cam Akers up the middle for 2 yards (tackle by Denzel Perryman),2.850,2.410
1,0:16,3,2,LVR 37,10,0,Baker Mayfield pass incomplete deep right intended for Tutu Atwell (defended by Nate Hobbs),2.410,0.790
1,0:11,4,2,LVR 37,10,3,Matt Gay 55 yard field goal good,0.790,3.000
1,0:06,,,LAR 35,10,3,"Matt Gay kicks off 49 yards, returned by Ameer Abdullah for 15 yards (tackle by Lance McCutcheon)",0.000,1.000
Quarter,Time,Down,ToGo,Location,LVR,LAR,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,LVR 31,10,3,Josh Jacobs left tackle for 4 yards (tackle by Ernest Jones),1.000,1.000
2,14:21,2,6,LVR 35,10,3,Derek Carr pass complete short right to Mack Hollins for 7 yards (tackle by Bobby Wagner),1.000,1.730
2,13:40,1,10,LVR 42,10,3,"Josh Jacobs up the middle for 7 yards (tackle by Taylor Rapp and Michael Hoecht). Penalty on Marquise Copeland: Illegal Use of Hands / Defense, 5 yards (accepted)",1.730,2.520
2,13:06,1,10,LAR 46,10,3,Josh Jacobs right tackle for 5 yards (tackle by Michael Hoecht),2.520,2.650
2,12:26,2,5,LAR 41,10,3,Mack Hollins left end for 16 yards (tackle by Troy Hill and Jalen Ramsey),2.650,3.910
2,11:36,1,10,LAR 25,10,3,Derek Carr pass complete short right to Keelan Cole for 11 yards (tackle by Jalen Ramsey),3.910,4.650
2,10:58,1,10,LAR 14,10,3,DJ Turner right end for 6 yards (tackle by Troy Hill),4.650,5.090
2,10:15,2,4,LAR 8,10,3,"Josh Jacobs left end for -5 yards (tackle by Keir Thomas). Penalty on John Simpson: Offensive Holding, 10 yards (declined)",5.090,3.260
2,9:48,3,9,LAR 13,10,3,Derek Carr pass incomplete short right intended for DJ Turner,3.260,2.570
2,9:44,4,9,LAR 13,13,3,Daniel Carlson 31 yard field goal good,2.570,3.000
2,9:40,,,LVR 35,13,3,"Daniel Carlson kicks off 60 yards, returned by Brandon Powell for 17 yards (tackle by Roderic Teamer)",0.000,0.410
2,9:34,1,10,LAR 22,13,3,Cam Akers up the middle for 6 yards (tackle by Denzel Perryman),0.410,0.680
