Unnamed: 0,WAS,NOR
First Downs,22,24
Rush-Yds-TDs,43-153-2,10-32-0
Cmp-Att-Yd-TD-INT,19-26-320-2-0,24-52-339-3-2
Sacked-Yards,2-14,2-13
Net Pass Yards,306,326
Total Yards,459,358
Fumbles-Lost,3-0,1-1
Turnovers,0,3
Penalties-Yards,12-127,12-107
Third Down Conv.,4-15,2-11
Fourth Down Conv.,1-1,2-2
Time of Possession,39:10,20:50
