Unnamed: 0,CHI,WAS
First Downs,11,18
Rush-Yds-TDs,18-41-1,40-164-0
Cmp-Att-Yd-TD-INT,15-28-141-0-1,14-25-175-0-1
Sacked-Yards,3-16,3-16
Net Pass Yards,125,159
Total Yards,166,323
Fumbles-Lost,3-1,4-2
Turnovers,2,3
Penalties-Yards,8-86,5-45
Third Down Conv.,6-13,6-16
Fourth Down Conv.,0-0,1-1
Time of Possession,25:45,34:15
