Unnamed: 0,BAL,CIN
First Downs,28,24
Rush-Yds-TDs,22-66-1,28-108-0
Cmp-Att-Yd-TD-INT,32-55-376-2-2,24-42-265-4-0
Sacked-Yards,4-17,0-0
Net Pass Yards,359,265
Total Yards,425,373
Fumbles-Lost,2-1,1-0
Turnovers,3,0
Penalties-Yards,7-51,9-92
Third Down Conv.,7-16,5-13
Fourth Down Conv.,2-4,0-0
Time of Possession,28:10,31:50
