Quarter,Time,Tm,Detail,BAL,CIN
1.0,10:35,Bengals,A.J. Green 4 yard pass from Andy Dalton (Randy Bullock kick),0,7
,6:26,Bengals,A.J. Green 32 yard pass from Andy Dalton (Randy Bullock kick),0,14
2.0,13:02,Bengals,A.J. Green 7 yard pass from Andy Dalton (Randy Bullock kick),0,21
,8:20,Ravens,Javorius Allen 1 yard rush (Justin Tucker kick),7,21
,2:58,Bengals,Tyler Boyd 14 yard pass from Andy Dalton (Randy Bullock kick),7,28
,0:08,Ravens,Mark Andrews 1 yard pass from Joe Flacco (Justin Tucker kick),14,28
3.0,12:30,Ravens,Justin Tucker 55 yard field goal,17,28
4.0,9:35,Ravens,John Brown 21 yard pass from Joe Flacco,23,28
,2:59,Bengals,Randy Bullock 28 yard field goal,23,31
,2:25,Bengals,Randy Bullock 40 yard field goal,23,34
