Quarter,Time,Down,ToGo,Location,PHI,NYJ,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Jets won the coin toss, Jets to receive the opening kickoff.",,
1,15:00,,,PHI 35,0,0,"Cody Parkey kicks off 65 yards, returned by Zac Stacy for 18 yards (tackle by Chris Maragos)",0.000,-0.040
1,14:53,1,10,NYJ 18,0,0,Bilal Powell right tackle for 3 yards (tackle by Brandon Bair),0.040,0.010
1,14:15,2,7,NYJ 21,0,0,"Penalty on Quincy Enunwa: False Start, 5 yards (no play)",0.010,-0.800
1,13:55,2,12,NYJ 16,0,0,Ryan Fitzpatrick pass complete short left to Jeremy Kerley for 7 yards (tackle by DeMeco Ryans),-0.800,-0.530
1,13:16,3,5,NYJ 23,0,0,Ryan Fitzpatrick pass complete short left to Jeremy Kerley for 4 yards (tackle by Malcolm Jenkins),-0.530,-1.570
1,12:32,4,1,NYJ 27,0,0,"Ryan Quigley punts 44 yards, out of bounds",-1.570,-0.870
1,12:23,1,10,PHI 29,0,0,Darren Sproles middle for 5 yards (tackle by David Harris),0.870,1.000
1,12:02,2,5,PHI 34,0,0,"Sam Bradford pass incomplete short middle intended for Riley Cooper. Penalty on Antonio Cromartie: Defensive Holding, 5 yards (no play)",1.000,1.530
1,11:58,1,10,PHI 39,0,0,Ryan Mathews left end for 27 yards (tackle by Marcus Gilchrist),1.530,3.310
1,11:37,1,10,NYJ 34,0,0,Sam Bradford pass incomplete short left intended for Ryan Mathews,3.310,2.770
1,11:33,2,10,NYJ 34,0,0,Sam Bradford pass complete short left to Ryan Mathews for -3 yards (tackle by Calvin Pryor and Buster Skrine),2.770,1.690
1,10:49,3,13,NYJ 37,0,0,Sam Bradford pass complete short right to Jordan Matthews for 17 yards (tackle by Marcus Williams),1.690,4.240
1,10:11,1,10,NYJ 20,0,0,Darren Sproles left end for 5 yards (tackle by Muhammad Wilkerson),4.240,4.450
1,9:41,2,5,NYJ 15,0,0,Ryan Mathews middle for 6 yards (tackle by Calvin Pryor),4.450,5.140
1,9:08,1,9,NYJ 9,0,0,Sam Bradford pass incomplete short middle intended for Darren Sproles,5.140,4.380
1,9:02,2,9,NYJ 9,0,0,Darren Sproles left tackle for -3 yards (tackle by Demario Davis),4.380,3.100
1,8:16,3,12,NYJ 12,0,0,Sam Bradford pass incomplete short left intended for Miles Austin,3.100,2.630
1,8:11,4,12,NYJ 12,3,0,Cody Parkey 30 yard field goal good,2.630,3.000
1,8:11,,,PHI 35,3,0,"Cody Parkey kicks off 63 yards, out of bounds",0.000,-1.600
1,8:08,1,10,NYJ 40,3,0,Bilal Powell left guard for 1 yard (tackle by Jordan Hicks),1.600,1.190
1,7:31,2,9,NYJ 41,3,0,Ryan Fitzpatrick pass complete short left to Quincy Enunwa for 5 yards (tackle by Nolan Carroll),1.190,1.160
1,7:04,3,4,NYJ 46,3,0,Ryan Fitzpatrick pass complete short left to Brandon Marshall for 2 yards (tackle by Byron Maxwell),1.160,-0.190
1,6:24,4,2,NYJ 48,3,0,Ryan Quigley punts 50 yards,-0.190,0.380
1,6:15,1,10,PHI 2,3,0,Sam Bradford pass incomplete short right intended for Nelson Agholor,-0.380,-0.780
1,6:11,2,10,PHI 2,3,0,Ryan Mathews right tackle for 3 yards (tackle by Leonard Williams and Demario Davis),-0.780,-1.070
1,5:25,3,7,PHI 5,3,0,"Penalty on Sam Bradford: Delay of Game, 2 yards (no play)",-1.070,-1.300
1,5:09,3,9,PHI 3,3,0,Sam Bradford pass complete short right to Darren Sproles for 9 yards (tackle by Darrelle Revis),-1.300,-0.350
1,4:47,1,10,PHI 12,3,0,Darren Sproles left end for -4 yards (tackle by Quinton Coples and Damon Harrison),-0.350,-1.070
1,4:18,2,14,PHI 8,3,0,Ryan Mathews middle for 1 yard (tackle by Leonard Williams and Damon Harrison),-1.070,-1.770
1,3:44,3,13,PHI 9,3,0,Sam Bradford pass incomplete short right intended for Nelson Agholor. Penalty on Allen Barbre: Offensive Holding (Declined),-1.770,-2.490
1,3:39,4,13,PHI 9,3,0,"Donnie Jones punts 54 yards, fair catch by Jeremy Kerley",-2.490,-1.400
1,3:31,1,10,NYJ 37,3,0,Ryan Fitzpatrick pass incomplete short right intended for Quincy Enunwa,1.400,0.860
1,3:27,2,10,NYJ 37,3,0,Ryan Fitzpatrick pass complete short right to Jeremy Kerley for 9 yards (tackle by Malcolm Jenkins),0.860,1.360
1,2:50,3,1,NYJ 46,3,0,Ryan Fitzpatrick pass complete short right to Jeff Cumberland for 5 yards (tackle by Jordan Hicks),1.360,2.320
