Quarter,Time,Tm,Detail,PHI,NYJ
1.0,8:08,Eagles,Cody Parkey 30 yard field goal,3,0
2.0,12:21,Eagles,Darren Sproles 89 yard punt return (Cody Parkey kick),10,0
,4:57,Eagles,Ryan Mathews 23 yard pass from Sam Bradford (Cody Parkey kick),17,0
,2:11,Eagles,Darren Sproles 1 yard rush (Cody Parkey kick),24,0
,0:06,Jets,Brandon Marshall 16 yard pass from Ryan Fitzpatrick (Nick Folk kick),24,7
4.0,9:37,Jets,Jeremy Kerley 7 yard pass from Ryan Fitzpatrick (Nick Folk kick),24,14
,2:34,Jets,Nick Folk 53 yard field goal,24,17
