Unnamed: 0,PHI,NYJ
First Downs,18,19
Rush-Yds-TDs,38-123-1,16-47-0
Cmp-Att-Yd-TD-INT,14-28-118-1-0,35-58-283-2-3
Sacked-Yards,1-10,1-7
Net Pass Yards,108,276
Total Yards,231,323
Fumbles-Lost,1-1,2-1
Turnovers,1,4
Penalties-Yards,5-21,6-53
Third Down Conv.,4-14,7-17
Fourth Down Conv.,0-0,0-0
Time of Possession,28:11,31:49
