Quarter,Time,Tm,Detail,MIA,NWE
1.0,11:39,Patriots,Stephen Gostkowski 35 yard field goal,0,3
2.0,10:13,Patriots,Stephen Gostkowski 31 yard field goal,0,6
,7:49,Patriots,Troy Brown 10 yard pass from Tom Brady (Stephen Gostkowski kick),0,13
,2:56,Dolphins,Ronnie Brown 2 yard rush (Olindo Mare kick),7,13
,0:24,Dolphins,Olindo Mare 40 yard field goal,10,13
4.0,9:47,Patriots,Heath Evans 1 yard pass from Tom Brady (Stephen Gostkowski kick),10,20
