Unnamed: 0,NYJ,CLE
First Downs,28,19
Rush-Yds-TDs,45-172-1,25-107-1
Cmp-Att-Yd-TD-INT,27-44-299-2-1,18-31-205-1-0
Sacked-Yards,2-15,3-9
Net Pass Yards,284,196
Total Yards,456,303
Fumbles-Lost,0-0,2-2
Turnovers,1,2
Penalties-Yards,9-70,4-52
Third Down Conv.,11-21,4-12
Fourth Down Conv.,1-1,0-0
Time of Possession,47:08,27:36
