Quarter,Time,Tm,Detail,NYJ,CLE
1,9:52,Browns,Phil Dawson 34 yard field goal,0,3
,5:52,Jets,Nick Folk 27 yard field goal,3,3
,0:16,Browns,Peyton Hillis 12 yard rush (Phil Dawson kick),3,10
2,11:09,Jets,Jerricho Cotchery 25 yard pass from Mark Sanchez (Nick Folk kick),10,10
,5:13,Browns,Phil Dawson 23 yard field goal,10,13
,0:23,Jets,Mark Sanchez 1 yard rush (Nick Folk kick),17,13
4,2:42,Jets,Nick Folk 25 yard field goal,20,13
,0:44,Browns,Mohamed Massaquoi 3 yard pass from Colt McCoy (Phil Dawson kick),20,20
OT,0:16,Jets,Santonio Holmes 37 yard pass from Mark Sanchez,26,20
