Unnamed: 0,SEA,GNB
First Downs,15,25
Rush-Yds-TDs,18-28-1,35-235-3
Cmp-Att-Yd-TD-INT,19-33-194-1-0,18-23-173-3-0
Sacked-Yards,2-22,1-0
Net Pass Yards,172,173
Total Yards,200,408
Fumbles-Lost,2-1,2-2
Turnovers,1,2
Penalties-Yards,4-28,5-47
Third Down Conv.,3-11,7-10
Fourth Down Conv.,0-1,0-0
Time of Possession,26:00,34:00
