Quarter,Time,Tm,Detail,DEN,PIT
1.0,12:02,Steelers,Diontae Johnson 50 yard pass from Ben Roethlisberger (Chris Boswell kick),0,7
,1:43,Broncos,Brandon McManus 39 yard field goal,3,7
2.0,12:42,Steelers,Chris Boswell 48 yard field goal,3,10
,5:47,Broncos,Brandon McManus 29 yard field goal,6,10
,2:12,Steelers,Najee Harris 1 yard rush (Chris Boswell kick),6,17
3.0,2:41,Steelers,Chase Claypool 18 yard pass from Ben Roethlisberger (Chris Boswell kick),6,24
4.0,10:15,Broncos,Kendall Hinton 2 yard pass from Teddy Bridgewater (Brandon McManus kick),13,24
,5:46,Broncos,Courtland Sutton 39 yard pass from Teddy Bridgewater (pass failed),19,24
,2:29,Steelers,Chris Boswell 43 yard field goal,19,27
