Quarter,Time,Down,ToGo,Location,DEN,PIT,Detail,EPB,EPA
2,12:50,3,13,DEN 30,3,7,Ben Roethlisberger pass incomplete short left intended for JuJu Smith-Schuster,,
2,12:47,4,13,DEN 30,3,10,Chris Boswell 48 yard field goal good,,
2,12:42,,,PIT 35,3,10,"Chris Boswell kicks off 65 yards, returned by Diontae Spencer for 22 yards (tackle by Ulysees Gilbert and Derek Watt)",,
2,12:38,1,10,DEN 22,3,10,Melvin Gordon right guard for 8 yards (tackle by Joe Haden),,
2,12:00,2,2,DEN 30,3,10,Teddy Bridgewater pass incomplete short left intended for Courtland Sutton (defended by Cameron Heyward),,
2,11:57,3,2,DEN 30,3,10,Teddy Bridgewater pass incomplete short middle intended for Courtland Sutton,,
2,11:54,4,2,DEN 30,3,10,"Sam Martin punts 52 yards, returned by Ray-Ray McCloud for no gain (tackle by Mike Ford). Penalty on Justin Layne: Offensive Illegal Block Above the Waist, 9 yards (accepted)",,
2,11:44,1,10,PIT 9,3,10,Najee Harris left guard for 3 yards (tackle by Justin Strnad and Malik Reed),,
2,11:05,2,7,PIT 12,3,10,Najee Harris left guard for 5 yards (tackle by Alexander Johnson),,
2,10:22,3,2,PIT 17,3,10,Ben Roethlisberger pass incomplete deep left intended for Chase Claypool (defended by Patrick Surtain),,
2,10:15,4,2,PIT 17,3,10,"Pressley Harvin punts 56 yards, returned by Diontae Spencer for 13 yards (tackle by Christian Kuntz)",,
2,10:04,1,10,DEN 40,3,10,Javonte Williams left guard for no gain (tackle by Terrell Edmunds and Joe Schobert),,
2,9:20,2,10,DEN 40,3,10,Teddy Bridgewater pass complete short right to Courtland Sutton for 9 yards (tackle by Terrell Edmunds),,
2,8:08,3,1,DEN 49,3,10,"Javonte Williams left tackle for 49 yards (tackle by James Pierre). Penalty on Javonte Williams: Delay of Game, 5 yards (accepted)",,
2,7:59,1,7,PIT 7,3,10,Javonte Williams right guard for 2 yards (tackle by Minkah Fitzpatrick and Cameron Heyward),,
2,7:23,2,5,PIT 5,3,10,Teddy Bridgewater sacked by Devin Bush for -12 yards,,
2,6:33,,,,,,Timeout #1 by Denver Broncos,,
2,6:33,3,17,PIT 17,3,10,Teddy Bridgewater pass complete short left to Javonte Williams for 6 yards (tackle by James Pierre),,
2,5:51,4,11,PIT 11,6,10,Brandon McManus 29 yard field goal good,,
2,5:47,,,DEN 35,6,10,"Brandon McManus kicks off 65 yards, touchback.",,
2,5:47,1,10,PIT 25,6,10,JuJu Smith-Schuster left end for 3 yards (tackle by Kareem Jackson),,
2,5:11,2,7,PIT 28,6,10,Ben Roethlisberger pass complete short middle to Chase Claypool for 59 yards (tackle by Justin Simmons and Von Miller),,
2,4:22,1,10,DEN 13,6,10,Najee Harris right tackle for no gain (tackle by Aaron Patrick and Jonathon Cooper),,
2,3:33,2,10,DEN 13,6,10,"Penalty on Chukwuma Okorafor: False Start, 5 yards (accepted) (no play)",,
2,3:07,,,,,,Timeout #1 by Pittsburgh Steelers,,
2,3:07,2,15,DEN 18,6,10,Ben Roethlisberger pass incomplete short right intended for Najee Harris (defended by Alexander Johnson),,
2,3:03,3,15,DEN 18,6,10,"Ben Roethlisberger pass incomplete deep right intended for Diontae Johnson. Penalty on Kyle Fuller: Defensive Pass Interference, 17 yards (accepted) (no play)",,
2,2:58,1,1,DEN 1,6,10,Najee Harris right tackle for no gain (tackle by Alexander Johnson),,
2,2:16,2,1,DEN 1,6,16,"Najee Harris for 1 yard, touchdown",,
2,2:12,,,DEN 15,6,17,Chris Boswell kicks extra point good,,
2,2:12,,,PIT 35,6,17,"Chris Boswell kicks off 65 yards, touchback.",,
2,2:12,1,10,DEN 25,6,17,Teddy Bridgewater pass complete short left to Courtland Sutton for 14 yards (tackle by James Pierre),,
2,2:00,1,10,DEN 39,6,17,Teddy Bridgewater pass complete short left to Courtland Sutton for 12 yards (tackle by James Pierre),,
2,1:55,1,10,PIT 49,6,17,"Penalty on Garett Bolles: False Start, 5 yards (accepted) (no play)",,
2,1:55,1,15,DEN 46,6,17,Teddy Bridgewater pass incomplete deep middle intended for David Moore,,
2,1:50,2,15,DEN 46,6,17,Teddy Bridgewater pass incomplete short middle intended for David Moore (defended by Arthur Maulet),,
2,1:46,3,15,DEN 46,6,17,"Penalty on Alex Highsmith: Neutral Zone Infraction, 5 yards (accepted) (no play)",,
2,1:46,3,10,PIT 49,6,17,"Teddy Bridgewater pass incomplete deep right. Penalty on Garett Bolles: Offensive Holding, 10 yards (declined)",,
2,1:37,4,10,PIT 49,6,17,"Sam Martin punts 39 yards, fair catch by Ray-Ray McCloud at PIT-10",,
2,1:31,1,10,PIT 10,6,17,Najee Harris right guard for 3 yards (tackle by DeShawn Williams),,
2,1:01,2,7,PIT 13,6,17,"Ben Roethlisberger pass complete short left to Diontae Johnson for no gain (tackle by Patrick Surtain). Penalty on Kendrick Green: Ineligible Downfield Pass, 5 yards (accepted) (no play)",,
2,0:54,2,12,PIT 8,6,17,Najee Harris right tackle for 13 yards (tackle by Bryce Callahan),,
2,0:39,1,10,PIT 21,6,17,Ben Roethlisberger pass complete short middle to Eric Ebron for 5 yards (tackle by Caden Sterns),,
2,0:23,,,,,,Timeout #2 by Pittsburgh Steelers,,
2,0:23,2,5,PIT 26,6,17,Kalen Ballage up the middle for -2 yards (tackle by Shelby Harris),,
Quarter,Time,Down,ToGo,Location,DEN,PIT,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,PIT 35,6,17,"Chris Boswell kicks off 58 yards, returned by Diontae Spencer for 18 yards (tackle by Justin Layne). Penalty on Mike Ford: Offensive Holding, 10 yards (accepted)",,
3,14:55,1,10,DEN 15,6,17,Teddy Bridgewater pass complete short right to Courtland Sutton for 12 yards,,
3,14:12,1,10,DEN 27,6,17,Melvin Gordon up the middle for 7 yards (tackle by T.J. Watt),,
3,13:35,2,3,DEN 34,6,17,Teddy Bridgewater pass complete short right to Melvin Gordon for 3 yards (tackle by Alex Highsmith),,
3,12:53,1,10,DEN 37,6,17,Melvin Gordon up the middle for 1 yard (tackle by Joe Schobert),,
3,12:10,2,9,DEN 38,6,17,Teddy Bridgewater pass complete short right to Tim Patrick for 12 yards (tackle by Minkah Fitzpatrick and Joe Haden),,
3,11:31,1,10,DEN 50,6,17,Melvin Gordon left end for 1 yard (tackle by Minkah Fitzpatrick),,
3,10:52,2,9,PIT 49,6,17,Melvin Gordon left tackle for 2 yards (tackle by Cameron Heyward),,
3,10:09,3,7,PIT 47,6,17,Teddy Bridgewater pass incomplete short right intended for Kendall Hinton (defended by Cameron Heyward),,
3,10:03,4,7,PIT 47,6,17,"Sam Martin punts 33 yards, fair catch by Ray-Ray McCloud at PIT-14",,
3,9:57,1,10,PIT 14,6,17,Najee Harris right guard for 5 yards (tackle by Dre'Mont Jones),,
3,9:16,2,5,PIT 19,6,17,Najee Harris left guard for 18 yards (tackle by Justin Simmons and Justin Strnad),,
3,8:29,1,10,PIT 37,6,17,Kalen Ballage right guard for 3 yards (tackle by Malik Reed),,
3,7:49,2,7,PIT 40,6,17,"Kalen Ballage up the middle for no gain (tackle by Von Miller and Mike Purcell). Penalty on Kevin Dotson: Offensive Holding, 10 yards (accepted) (no play)",,
3,7:25,2,17,PIT 30,6,17,Ben Roethlisberger pass complete short middle to Najee Harris for 14 yards (tackle by Justin Simmons),,
3,6:38,3,3,PIT 44,6,17,Ben Roethlisberger pass complete short middle to Chase Claypool for 14 yards (tackle by Kareem Jackson),,
3,5:54,1,10,DEN 42,6,17,Najee Harris right tackle for 8 yards (tackle by Jonathon Cooper and Justin Simmons),,
3,5:13,2,2,DEN 34,6,17,Ben Roethlisberger pass incomplete deep left intended for Cody White,,
3,5:05,3,2,DEN 34,6,17,Ben Roethlisberger pass complete short left to Pat Freiermuth for 3 yards (tackle by Patrick Surtain),,
3,4:20,1,10,DEN 31,6,17,Najee Harris up the middle for -1 yards (tackle by Bryce Callahan and Malik Reed),,
3,3:45,,,,,,Timeout #2 by Denver Broncos,,
3,3:45,2,11,DEN 32,6,17,Najee Harris left guard for -1 yards (tackle by Shelby Harris),,
3,3:03,3,11,DEN 32,6,17,Ben Roethlisberger pass incomplete deep left intended for Ray-Ray McCloud,,
3,2:58,4,12,DEN 33,6,17,"Chris Boswell yard field goal good. Penalty on Dre'Mont Jones: Leverage, 15 yards (accepted) (no play)",,
3,2:51,1,10,DEN 18,6,17,Ben Roethlisberger pass incomplete short left intended for Najee Harris,,
3,2:50,2,10,DEN 18,6,17,Ben Roethlisberger pass incomplete short middle intended for Najee Harris,,
3,2:46,,,,,,Timeout #2 by Pittsburgh Steelers,,
3,2:46,3,10,DEN 18,6,23,"Ben Roethlisberger pass complete deep middle to Chase Claypool for 18 yards, touchdown",,
3,2:41,,,DEN 15,6,24,Chris Boswell kicks extra point good,,
3,2:41,,,PIT 35,6,24,"Chris Boswell kicks off 65 yards, touchback.",,
3,2:41,1,10,DEN 25,6,24,Teddy Bridgewater pass complete short right to Tim Patrick for 19 yards (tackle by Terrell Edmunds and Joe Haden),,
3,2:01,1,10,DEN 44,6,24,Teddy Bridgewater sacked by Henry Mondeaux for -8 yards,,
3,1:17,2,18,DEN 36,6,24,Javonte Williams right tackle for 3 yards (tackle by Joe Schobert),,
3,0:33,3,15,DEN 39,6,24,Teddy Bridgewater pass complete short middle to Tim Patrick for 10 yards (tackle by Terrell Edmunds and Minkah Fitzpatrick),,
Quarter,Time,Down,ToGo,Location,DEN,PIT,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,4,5,DEN 49,6,24,Teddy Bridgewater pass complete short right to Tim Patrick for 5 yards (tackle by Tre Norwood),,
4,14:29,1,10,PIT 46,6,24,Javonte Williams right tackle for 10 yards (tackle by Robert Spillane and Minkah Fitzpatrick),,
4,13:51,1,10,PIT 36,6,24,Javonte Williams left end for -1 yards (tackle by Minkah Fitzpatrick),,
4,13:06,2,11,PIT 37,6,24,Teddy Bridgewater pass incomplete short left intended for Noah Fant (defended by Joe Schobert),,
4,13:03,3,11,PIT 37,6,24,Teddy Bridgewater pass complete short left to Noah Fant for 9 yards (tackle by Terrell Edmunds),,
4,12:22,4,2,PIT 28,6,24,Teddy Bridgewater pass complete deep left to Courtland Sutton for 25 yards (tackle by Minkah Fitzpatrick),,
4,11:41,1,3,PIT 3,6,24,Teddy Bridgewater pass incomplete short left intended for Tim Patrick,,
4,11:34,2,3,PIT 3,6,24,"Teddy Bridgewater sacked by Isaiahh Loudermilk for no gain. Penalty on Lloyd Cushenberry: Offensive Holding, 10 yards (accepted) (no play)",,
4,11:12,2,13,PIT 13,6,24,Teddy Bridgewater scrambles right tackle for 11 yards (tackle by Joe Haden),,
4,10:28,3,2,PIT 2,6,24,Teddy Bridgewater pass incomplete short right,,
4,10:19,4,2,PIT 2,12,24,"Teddy Bridgewater pass complete short right to Kendall Hinton for 2 yards, touchdown",,
4,10:15,,,PIT 15,13,24,Brandon McManus kicks extra point good,,
4,10:15,,,DEN 35,13,24,"Brandon McManus kicks off 67 yards, returned by Ray-Ray McCloud for 20 yards (tackle by Baron Browning and Aaron Patrick)",,
4,10:09,1,10,PIT 18,13,24,Najee Harris right guard for 4 yards (tackle by Alexander Johnson and Malik Reed),,
4,9:28,2,6,PIT 22,13,24,"Najee Harris left guard for no gain (tackle by Patrick Surtain and Kareem Jackson). Penalty on Kendrick Green: Offensive Holding, 10 yards (accepted) (no play)",,
4,8:58,2,16,PIT 12,13,24,Benny Snell left tackle for 9 yards (tackle by Kareem Jackson),,
4,8:12,3,7,PIT 21,13,24,Ben Roethlisberger pass complete short middle to Ray-Ray McCloud for 1 yard (tackle by Bryce Callahan),,
4,7:58,4,6,PIT 22,13,24,"Pressley Harvin punts 63 yards, returned by Diontae Spencer for 13 yards (tackle by Derrek Tuszka)",,
4,7:40,1,10,DEN 28,13,24,Melvin Gordon left tackle for 4 yards (tackle by Cameron Heyward and Melvin Ingram),,
4,7:15,2,6,DEN 32,13,24,Teddy Bridgewater pass complete short middle to Tim Patrick for 15 yards (tackle by James Pierre),,
4,6:45,1,10,DEN 47,13,24,Teddy Bridgewater pass complete short right to Courtland Sutton for 9 yards (tackle by Joe Schobert),,
4,6:15,2,1,PIT 44,13,24,Melvin Gordon left guard for 5 yards (tackle by Chris Wormley),,
4,5:55,1,10,PIT 39,19,24,"Teddy Bridgewater pass complete deep left to Courtland Sutton for 39 yards, touchdown",,
4,5:46,,,PIT 2,19,24,Two Point Attempt: Teddy Bridgewater pass incomplete intended for intended for Courtland Sutton,,
4,5:46,,,DEN 35,19,24,"Brandon McManus kicks off 65 yards, touchback.",,
4,5:46,1,10,PIT 25,19,24,Benny Snell up the middle for 2 yards (tackle by Shelby Harris and Kareem Jackson),,
4,5:05,2,8,PIT 27,19,24,Ben Roethlisberger pass complete short right to Diontae Johnson for 22 yards (tackle by Patrick Surtain),,
4,4:19,1,10,PIT 49,19,24,Ben Roethlisberger pass complete short left to Chase Claypool for 16 yards (tackle by Kareem Jackson),,
4,3:33,1,10,DEN 35,19,24,Benny Snell left tackle for 1 yard (tackle by Malik Reed),,
4,3:25,,,,,,Timeout #1 by Denver Broncos,,
4,3:25,2,9,DEN 34,19,24,Benny Snell up the middle for 4 yards (tackle by Justin Simmons),,
4,2:39,,,,,,Timeout #3 by Pittsburgh Steelers,,
4,2:39,3,5,DEN 30,19,24,Benny Snell left tackle for 4 yards (tackle by Alexander Johnson and Justin Simmons),,
4,2:33,,,,,,Timeout #3 by Denver Broncos,,
4,2:33,4,1,DEN 26,19,27,Chris Boswell 43 yard field goal good,,
4,2:29,,,PIT 35,19,27,"Chris Boswell kicks off 65 yards, touchback.",,
4,2:29,1,10,DEN 25,19,27,Teddy Bridgewater pass incomplete short right,,
4,2:25,2,10,DEN 25,19,27,Teddy Bridgewater pass complete short middle to Tim Patrick for 23 yards (tackle by Joe Haden),,
4,2:05,1,10,DEN 48,19,27,Teddy Bridgewater pass complete short middle to Noah Fant for 6 yards (tackle by Minkah Fitzpatrick),,
4,2:00,2,4,PIT 46,19,27,Teddy Bridgewater pass complete short middle to Javonte Williams for 9 yards (tackle by Arthur Maulet),,
4,1:34,1,10,PIT 37,19,27,Teddy Bridgewater pass complete short right to Noah Fant for 5 yards (tackle by Tre Norwood),,
4,1:11,2,5,PIT 32,19,27,Teddy Bridgewater pass incomplete deep left intended for Courtland Sutton (defended by James Pierre),,
4,1:03,3,5,PIT 32,19,27,Teddy Bridgewater pass complete deep left to Kendall Hinton for 23 yards,,
4,0:56,1,9,PIT 9,19,27,Teddy Bridgewater pass incomplete short right intended for Tim Patrick (defended by Joe Haden),,
4,0:50,2,9,PIT 9,19,27,Teddy Bridgewater pass complete short left to Melvin Gordon for 6 yards (tackle by Joe Schobert and Terrell Edmunds),,
4,0:23,3,3,PIT 3,19,27,Teddy Bridgewater pass incomplete short right intended for Diontae Spencer,,
4,0:17,4,3,PIT 3,19,27,Teddy Bridgewater pass short left intended for Courtland Sutton is intercepted by James Pierre in end zone and returned for no gain,,
4,0:11,1,10,PIT 20,19,27,Ben Roethlisberger kneels for -1 yards,,
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
