Unnamed: 0,DEN,PIT
First Downs,17,19
Rush-Yds-TDs,18-106-0,35-147-1
Cmp-Att-Yd-TD-INT,24-38-288-2-1,15-25-253-2-0
Sacked-Yards,2-20,1-9
Net Pass Yards,268,244
Total Yards,374,391
Fumbles-Lost,0-0,1-1
Turnovers,1,1
Penalties-Yards,7-67,8-59
Third Down Conv.,2-12,7-12
Fourth Down Conv.,3-4,0-0
Time of Possession,26:58,33:02
