Quarter,Time,Tm,Detail,JAX,HOU
1.0,12:25,Texans,Arian Foster 2 yard rush (Neil Rackers kick),0,7
,4:15,Texans,Neil Rackers 26 yard field goal,0,10
2.0,14:54,Jaguars,Rashad Jennings 3 yard rush (Josh Scobee kick),7,10
,12:53,Texans,Derrick Ward 35 yard rush (Neil Rackers kick),7,17
,8:40,Jaguars,Josh Scobee 39 yard field goal,10,17
,1:54,Jaguars,Marcedes Lewis 7 yard pass from Trent Edwards (Josh Scobee kick),17,17
,0:00,Texans,Neil Rackers 33 yard field goal,17,20
3.0,3:47,Texans,Owen Daniels 5 yard pass from Matt Schaub (Neil Rackers kick),17,27
4.0,10:49,Texans,Arian Foster 35 yard rush (Neil Rackers kick),17,34
