Unnamed: 0,BAL,HOU
First Downs,12,27
Rush-Yds-TDs,12-55-0,37-181-2
Cmp-Att-Yd-TD-INT,21-43-147-1-2,23-37-256-2-0
Sacked-Yards,4-26,2-17
Net Pass Yards,121,239
Total Yards,176,420
Fumbles-Lost,1-0,1-0
Turnovers,2,0
Penalties-Yards,5-56,5-60
Third Down Conv.,4-15,8-15
Fourth Down Conv.,0-1,0-0
Time of Possession,21:44,38:16
