Quarter,Time,Tm,Detail,BAL,HOU
1.0,10:57,Ravens,Justin Tucker 51 yard field goal,3,0
,4:49,Texans,"Safety, Joe Flacco sacked by Connor Barwin in end zone.",3,2
,0:30,Texans,Kevin Walter 25 yard pass from Matt Schaub (Shayne Graham kick),3,9
2.0,14:51,Texans,Johnathan Joseph 52 yard interception return (Shayne Graham kick),3,16
,5:58,Texans,Owen Daniels 1 yard pass from Matt Schaub (Shayne Graham kick),3,23
,1:57,Texans,Shayne Graham 33 yard field goal,3,26
,0:03,Texans,Shayne Graham 29 yard field goal,3,29
3.0,10:36,Ravens,Tandon Doss 15 yard pass from Joe Flacco (Justin Tucker kick),10,29
,2:56,Texans,Arian Foster 1 yard rush (Shayne Graham kick),10,36
4.0,12:23,Ravens,Justin Tucker 54 yard field goal,13,36
,8:48,Texans,Arian Foster 2 yard rush (Shayne Graham kick),13,43
