Quarter,Time,Tm,Detail,GNB,TEN
1,9:42,Titans,Rob Bironas 31 yard field goal,0,3
2,14:07,Titans,Rob Bironas 25 yard field goal,0,6
,11:23,Packers,Mason Crosby 23 yard field goal,3,6
,4:23,Packers,Donald Driver 5 yard pass from Aaron Rodgers (Mason Crosby kick),10,6
,3:18,Titans,Chris Johnson 3 yard rush (Rob Bironas kick),10,13
3,4:11,Titans,Rob Bironas 22 yard field goal,10,16
,0:11,Packers,Mason Crosby 25 yard field goal,13,16
4,5:30,Packers,Mason Crosby 38 yard field goal,16,16
OT,9:36,Titans,Rob Bironas 41 yard field goal,16,19
