Quarter,Time,Down,ToGo,Location,GNB,TEN,Detail,EPB,EPA
1,8:25,3,1,GNB 29,0,3,John Kuhn right guard for 2 yards (tackle by Chris Hope),0.230,1.000
1,7:45,1,10,GNB 31,0,3,Aaron Rodgers pass complete short right to Donald Lee for 3 yards (tackle by Jason Jones),1.000,0.870
1,6:59,2,7,GNB 34,0,3,Ryan Grant right end for 13 yards (tackle by Chris Hope),0.870,2.060
1,6:26,1,10,GNB 47,0,3,Brandon Jackson left guard for 3 yards (tackle by Vincent Fuller),2.060,1.920
1,5:49,2,7,,0,3,Aaron Rodgers sacked by Chris Hope for 0 yards,1.920,1.220
1,5:12,3,7,,0,3,Aaron Rodgers up the middle for 6 yards (tackle by Jason Jones),1.220,0.330
1,4:26,,,,0,3,Timeout #1 by Green Bay Packers,0.000,0.330
1,4:26,4,1,TEN 44,0,3,Aaron Rodgers pass incomplete short right intended for Jermichael Finley (defended by Chris Hope),0.330,-1.930
1,4:22,1,10,TEN 45,0,3,Kerry Collins pass incomplete deep left intended for Justin Gage,1.930,1.380
1,4:15,2,10,TEN 45,0,3,Chris Johnson right end for -1 yards (tackle by Brady Poppinga and Charles Woodson),1.380,0.560
1,3:34,3,11,TEN 44,0,3,"Kerry Collins pass incomplete short right intended for Bo Scaife (defended by Nick Barnett). Penalty on Brady Poppinga: Personal Foul, 16 yards",0.560,2.920
1,3:27,1,10,GNB 40,0,3,Brandon Jones right end for 7 yards (tackle by Brady Poppinga),2.920,3.320
1,2:54,2,3,GNB 33,0,3,Chris Johnson left guard for 7 yards (tackle by Atari Bigby and A.J. Hawk),3.320,3.840
1,2:18,1,10,GNB 26,0,3,Chris Johnson left end for 7 yards (tackle by Mike Montgomery),3.840,4.270
1,1:39,2,3,GNB 19,0,3,LenDale White right tackle for 2 yards (tackle by Justin Harrell),4.270,3.950
1,1:11,3,1,GNB 17,0,3,LenDale White right guard for 2 yards (tackle by Johnny Jolly),3.950,4.580
1,0:35,1,10,GNB 15,0,3,Ahmard Hall right guard for 3 yards (tackle by Aaron Kampman),4.580,4.450
Quarter,Time,Down,ToGo,Location,GNB,TEN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,7,GNB 12,0,3,Chris Johnson up the middle for -2 yards (tackle by Johnny Jolly),4.450,3.240
2,14:27,3,9,GNB 14,0,3,Kerry Collins pass complete short right to Bo Scaife for 7 yards (tackle by Brandon Chillar),3.240,3.000
2,14:11,4,2,GNB 7,0,6,Rob Bironas 25 yard field goal good,3.000,3.000
2,,,,TEN 30,0,6,"Rob Bironas kicks off 70 yards, returned by Will Blackmon for 32 yards (tackle by Craig Stevens)",0.000,1.070
2,14:01,1,10,GNB 32,0,6,Ryan Grant right end for 1 yard (tackle by Keith Bulluck),1.070,0.660
2,13:16,2,9,GNB 33,0,6,Ryan Grant up the middle for 5 yards (tackle by Stephen Tulloch),0.660,0.630
2,12:36,3,4,GNB 38,0,6,Aaron Rodgers pass complete deep left to Greg Jennings for 52 yards (tackle by Cortland Finnegan),0.630,4.910
2,12:19,1,10,TEN 10,0,6,Ryan Grant left tackle for 5 yards (tackle by Jason Jones and Dave Ball),4.910,5.150
2,11:35,2,5,TEN 5,0,6,Aaron Rodgers pass incomplete short left intended for Jermichael Finley,5.150,4.260
2,11:31,3,5,TEN 5,0,6,Aaron Rodgers pass incomplete short left intended for Ruvell Martin,4.260,3.010
2,11:27,4,5,TEN 5,3,6,Mason Crosby 23 yard field goal good,3.010,3.000
2,,,,GNB 30,3,6,"Mason Crosby kicks off 67 yards, returned by Chris Carr for 28 yards (tackle by Aaron Rouse)",0.000,1.000
2,11:16,1,10,TEN 31,3,6,LenDale White left tackle for 3 yards (tackle by Nick Barnett and Justin Harrell),1.000,0.870
2,10:39,2,7,TEN 34,3,6,Kerry Collins pass incomplete short middle intended for Justin Gage,0.870,0.170
2,10:34,3,7,TEN 34,3,6,Kerry Collins pass incomplete short middle intended for Justin Gage (defended by Nick Collins),0.170,-1.110
2,10:30,4,7,TEN 34,3,6,Craig Hentrich punts 37 yards,-1.110,-0.870
2,10:22,1,10,GNB 29,3,6,Ryan Grant right end for 6 yards (tackle by Jevon Kearse),0.870,1.140
2,9:38,2,4,GNB 35,3,6,Aaron Rodgers pass incomplete deep right intended for Greg Jennings,1.140,0.430
2,9:31,3,4,GNB 35,3,6,Aaron Rodgers up the middle for 5 yards (tackle by David Thornton),0.430,1.600
2,8:53,1,10,GNB 40,3,6,Ryan Grant right guard for 5 yards (tackle by Dave Ball and Tony Brown),1.600,1.730
2,8:14,2,5,GNB 45,3,6,Aaron Rodgers pass complete short left to Greg Jennings for 7 yards (tackle by Cortland Finnegan),1.730,2.390
2,7:38,1,10,TEN 48,3,6,Aaron Rodgers pass complete short right to Jermichael Finley for 6 yards (tackle by Nick Harper),2.390,2.660
2,7:05,2,4,TEN 42,3,6,Aaron Rodgers pass complete short right to Jordy Nelson for 24 yards (tackle by Michael Griffin),2.660,4.370
2,6:26,1,10,TEN 18,3,6,Aaron Rodgers pass incomplete short left intended for Ryan Grant (defended by Stephen Tulloch),4.370,3.800
2,6:20,2,10,TEN 18,3,6,Ryan Grant left tackle for -1 yards (tackle by David Thornton),3.800,2.970
2,5:38,3,11,TEN 19,3,6,"Aaron Rodgers right end for 8 yards (tackle by Jevon Kearse). Penalty on Jevon Kearse: Unnecessary Roughness, 10 yards (no play)",2.970,5.140
2,5:14,1,9,TEN 9,3,6,Ryan Grant left tackle for 4 yards (tackle by Dave Ball),5.140,5.150
2,4:32,2,5,TEN 5,3,6,Aaron Rodgers pass incomplete short left intended for Greg Jennings,5.150,4.260
2,4:28,3,5,TEN 5,9,6,"Aaron Rodgers pass complete short right to Donald Driver for 5 yards, touchdown",4.260,7.000
2,,,,TEN 2,10,6,Mason Crosby kicks extra point good,0.000,0.000
2,,,,GNB 30,10,6,"Mason Crosby kicks off 72 yards, returned by Chris Carr for 28 yards (tackle by John Kuhn)",0.000,0.670
2,4:18,1,10,TEN 26,10,6,Kerry Collins pass incomplete short right intended for Bo Scaife (defended by Aaron Kampman),0.670,0.130
2,4:13,2,10,TEN 26,10,6,LenDale White left guard for 54 yards (tackle by Atari Bigby),0.130,4.240
2,3:50,1,10,GNB 20,10,6,Kerry Collins pass complete short middle to Chris Johnson for 17 yards (tackle by Nick Collins),4.240,6.510
2,3:22,1,3,GNB 3,10,12,"Chris Johnson right guard for 3 yards, touchdown",6.510,7.000
2,,,,GNB 2,10,13,Rob Bironas kicks extra point good,0.000,0.000
2,,,,TEN 30,10,13,"Rob Bironas kicks off 70 yards, returned by Jordy Nelson for 40 yards (tackle by Chris Carr). Penalty on Josh Stamer: Offside on Free Kick, 5 yards",0.000,1.930
2,3:11,1,10,GNB 45,10,13,Aaron Rodgers pass incomplete deep middle intended for Greg Jennings,1.930,1.380
2,3:04,2,10,GNB 45,10,13,Aaron Rodgers pass complete short right to Jordy Nelson for 10 yards (tackle by Nick Harper),1.380,2.590
2,2:24,1,10,TEN 45,10,13,Aaron Rodgers pass complete short left to John Kuhn for 2 yards (tackle by Keith Bulluck),2.590,2.310
2,2:00,2,8,TEN 43,10,13,"Aaron Rodgers pass complete short right to Brandon Jackson for 4 yards (tackle by David Thornton). Penalty on Josh Sitton: Offensive Holding, 10 yards (no play)",2.310,0.960
2,1:54,2,18,GNB 47,10,13,Aaron Rodgers pass complete short middle to Brandon Jackson for 10 yards (tackle by Jason Jones),0.960,1.620
2,1:10,3,8,TEN 43,10,13,Aaron Rodgers pass complete short middle to Donald Lee for 5 yards (tackle by Stephen Tulloch),1.620,0.720
2,0:26,4,3,TEN 38,10,13,Aaron Rodgers pass incomplete short left intended for Greg Jennings (defended by Cortland Finnegan),0.720,-1.530
2,0:20,1,10,TEN 39,10,13,Kerry Collins pass complete short left to Chris Johnson for 7 yards (tackle by A.J. Hawk),1.530,1.930
2,0:11,,,,10,13,Timeout #1 by Tennessee Titans,0.000,1.930
2,0:11,2,3,TEN 46,10,13,Kerry Collins pass complete short right to Brandon Jones for 5 yards,1.930,2.320
2,0:06,1,10,GNB 49,10,13,Kerry Collins pass complete short right to Lavelle Hawkins for 4 yards,2.320,2.320
2,0:03,,,,10,13,Timeout #2 by Tennessee Titans,0.000,2.320
2,0:03,2,6,GNB 45,10,13,Craig Hentrich kneels for -6 yards,2.320,0.830
Quarter,Time,Down,ToGo,Location,GNB,TEN,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,GNB 30,10,13,"Mason Crosby kicks off 62 yards, returned by Chris Carr for 17 yards (tackle by Will Blackmon)",0.000,0.610
3,14:54,1,10,TEN 25,10,13,Chris Johnson right tackle for 5 yards (tackle by A.J. Hawk and Mike Montgomery),0.610,0.740
3,14:17,2,5,TEN 30,10,13,Kerry Collins sacked by Ryan Pickett for -4 yards. Penalty on Eugene Amano: Offensive Holding (Declined),0.740,-0.490
3,13:47,3,9,TEN 26,10,13,Kerry Collins pass complete short middle to Justin McCareins for 15 yards (tackle by Atari Bigby),-0.490,1.660
3,13:05,1,10,TEN 41,10,13,Kerry Collins sacked by Mike Montgomery for -7 yards,1.660,0.180
3,12:27,2,17,TEN 34,10,13,Chris Johnson right end for 2 yards (tackle by Colin Cole),0.180,-0.230
3,11:45,3,15,TEN 36,10,13,Kerry Collins pass incomplete deep left intended for Justin McCareins,-0.230,-0.980
3,11:40,4,15,TEN 36,10,13,"Craig Hentrich punts 39 yards, returned by Will Blackmon for 5 yards (tackle by Stephen Tulloch)",-0.980,-0.940
3,11:30,1,10,GNB 30,10,13,Ryan Grant left tackle for 1 yard (tackle by Albert Haynesworth and Cortland Finnegan),0.940,0.530
3,10:52,2,9,GNB 31,10,13,Aaron Rodgers pass complete short middle to Brandon Jackson for 12 yards (tackle by Nick Harper),0.530,1.800
3,10:10,1,10,GNB 43,10,13,Ryan Grant left guard for 14 yards (tackle by Michael Griffin),1.800,2.720
3,9:29,1,10,TEN 43,10,13,Aaron Rodgers pass complete short right to Donald Driver for 8 yards (tackle by Nick Harper),2.720,3.260
3,8:51,2,2,TEN 35,10,13,Aaron Rodgers pass incomplete deep left intended for Greg Jennings is intercepted by Chris Hope,3.260,-0.280
3,8:44,1,10,TEN 20,10,13,Chris Johnson right guard for no gain (tackle by Brady Poppinga and Ryan Pickett),0.280,-0.270
3,8:08,2,10,TEN 20,10,13,Kerry Collins pass incomplete short right intended for Chris Johnson,-0.270,-0.960
3,8:04,3,10,TEN 20,10,13,Kerry Collins pass complete short left to Bo Scaife for 9 yards (tackle by Brandon Chillar),-0.960,-1.440
3,7:31,4,1,TEN 29,10,13,"Craig Hentrich punts 35 yards, returned by Will Blackmon for 1 yard (tackle by Eric King). Penalty on Jason Hunter: Offensive Holding, 10 yards",-1.440,-0.740
3,7:22,1,10,GNB 27,10,13,Ryan Grant right guard for 4 yards (tackle by Chris Hope),0.740,0.740
3,6:40,2,6,GNB 31,10,13,Aaron Rodgers pass incomplete short middle intended for Donald Driver,0.740,0.040
3,6:35,3,6,GNB 31,10,13,"Aaron Rodgers sacked by Jacob Ford for -10 yards. Aaron Rodgers fumbles (forced by Jacob Ford), recovered by Stephen Tulloch at GNB-17 (tackle by Scott Wells)",0.040,-4.440
3,6:28,1,10,GNB 17,10,13,Chris Johnson left tackle for no gain (tackle by Mike Montgomery),4.440,3.850
3,5:58,2,10,GNB 17,10,13,Kerry Collins pass incomplete short right intended for Ahmard Hall (defended by Brandon Chillar),3.850,3.070
3,5:54,3,10,GNB 17,10,13,Kerry Collins pass complete short right to Bo Scaife for 10 yards (tackle by Brandon Chillar),3.070,5.600
3,5:27,1,7,GNB 7,10,13,Chris Johnson right tackle for 3 yards (tackle by Nick Barnett and Ryan Pickett),5.600,5.340
3,4:53,2,4,GNB 4,10,13,Chris Johnson right guard for no gain (tackle by Ryan Pickett and Mike Montgomery),5.340,4.490
3,4:21,3,4,GNB 4,10,13,Kerry Collins pass incomplete short right intended for Bo Scaife (defended by Brandon Chillar),4.490,3.030
3,4:16,4,4,GNB 4,10,16,Rob Bironas 22 yard field goal good,3.030,3.000
3,,,,TEN 30,10,16,"Rob Bironas kicks off 70 yards, touchback",0.000,0.280
3,4:11,1,10,GNB 20,10,16,Aaron Rodgers pass complete deep left to Greg Jennings for 20 yards (tackle by Cortland Finnegan),0.280,1.600
3,3:32,1,10,GNB 40,10,16,Ryan Grant up the middle for 5 yards (tackle by Michael Griffin and Cortland Finnegan),1.600,1.730
3,2:56,2,5,GNB 45,10,16,Ryan Grant left tackle for -1 yards (tackle by Albert Haynesworth),1.730,0.890
3,2:14,3,6,GNB 44,10,16,Aaron Rodgers pass complete deep right to Donald Driver for 44 yards (tackle by Michael Griffin),0.890,4.780
3,1:44,1,10,TEN 12,10,16,Aaron Rodgers pass incomplete short right intended for Greg Jennings,4.780,4.100
3,1:41,2,10,TEN 12,10,16,Aaron Rodgers sacked by Jacob Ford for -8 yards,4.100,2.480
3,1:00,3,18,TEN 20,10,16,Aaron Rodgers pass complete short middle to Donald Lee for 14 yards (tackle by David Thornton),2.480,3.000
3,0:15,4,4,TEN 6,13,16,Mason Crosby 25 yard field goal good,3.000,3.000
3,,,,GNB 30,13,16,"Mason Crosby kicks off 63 yards, returned by Chris Carr for 15 yards (tackle by Kenneth Pettway)",0.000,0.410
3,0:05,1,10,TEN 22,13,16,Chris Johnson left end for 8 yards (tackle by A.J. Hawk),0.410,0.950
Quarter,Time,Down,ToGo,Location,GNB,TEN,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,2,TEN 30,13,16,LenDale White left tackle for 3 yards (tackle by Mike Montgomery),0.950,1.140
4,14:19,1,10,TEN 33,13,16,Kerry Collins pass incomplete short middle intended for Alge Crumpler (defended by Mike Montgomery),1.140,0.590
4,14:13,2,10,TEN 33,13,16,Chris Johnson up the middle for 7 yards (tackle by Nick Collins),0.590,0.830
4,13:38,3,3,TEN 40,13,16,Kerry Collins pass incomplete deep right intended for Brandon Jones,0.830,-0.720
4,13:34,4,3,TEN 40,13,16,Craig Hentrich punts 44 yards,-0.720,0.140
4,13:21,1,10,GNB 16,13,16,Ryan Grant right guard for no gain (tackle by Stephen Tulloch and Jevon Kearse),-0.140,-0.660
4,12:42,2,10,GNB 16,13,16,Aaron Rodgers pass complete deep middle to Donald Driver for 19 yards (tackle by Nick Harper),-0.660,1.270
4,11:54,1,10,GNB 35,13,16,Ryan Grant right end for -1 yards (tackle by Jevon Kearse),1.270,0.590
4,11:12,2,11,GNB 34,13,16,Aaron Rodgers pass incomplete short right intended for Ryan Grant,0.590,-0.100
4,11:08,3,11,GNB 34,13,16,Aaron Rodgers sacked by Dave Ball for -4 yards,-0.100,-1.370
4,10:39,4,15,GNB 30,13,16,"Derrick Frost punts 55 yards, returned by Chris Carr for 13 yards (tackle by Brett Goode)",-1.370,-0.810
4,10:28,1,10,TEN 28,13,16,Kerry Collins pass complete short right to Chris Johnson for 4 yards (tackle by Atari Bigby),0.810,0.800
4,9:47,2,6,TEN 32,13,16,Kerry Collins pass incomplete deep left intended for Justin McCareins,0.800,0.100
4,9:41,3,6,TEN 32,13,16,Chris Johnson up the middle for -1 yards (tackle by Justin Harrell),0.100,-1.310
4,9:10,4,7,TEN 31,13,16,"Craig Hentrich punts 60 yards, returned by Will Blackmon for 21 yards (tackle by Ahmard Hall)",-1.310,-0.940
4,8:58,1,10,GNB 30,13,16,Ryan Grant left tackle for 3 yards (tackle by David Thornton),0.940,0.800
4,8:22,2,7,GNB 33,13,16,Ryan Grant left tackle for 13 yards (tackle by Michael Griffin),0.800,1.990
4,7:38,1,10,GNB 46,13,16,Aaron Rodgers pass complete deep right to Donald Driver for 29 yards (tackle by Nick Harper),1.990,3.910
4,6:57,1,10,TEN 25,13,16,Ryan Grant up the middle for no gain (tackle by Stephen Tulloch),3.910,3.360
4,6:22,2,10,TEN 25,13,16,Aaron Rodgers pass incomplete short right intended for Donald Driver,3.360,2.680
4,6:17,3,10,TEN 25,13,16,Aaron Rodgers pass complete short right to Brandon Jackson for 6 yards (tackle by Keith Bulluck),2.680,2.260
4,5:35,4,4,TEN 19,16,16,Mason Crosby 38 yard field goal good,2.260,3.000
4,,,,GNB 30,16,16,"Mason Crosby kicks off 68 yards, returned by Chris Carr for 33 yards (tackle by Mason Crosby)",0.000,1.270
4,5:24,1,10,TEN 35,16,16,Kerry Collins pass incomplete short middle intended for Justin Gage (defended by Johnny Jolly),1.270,0.720
4,5:20,2,10,TEN 35,16,16,Kerry Collins pass complete short left to Chris Johnson for 3 yards (tackle by Nick Collins),0.720,0.430
4,4:36,3,7,TEN 38,16,16,Kerry Collins pass incomplete deep right intended for Brandon Jones,0.430,-0.850
4,4:32,4,7,TEN 38,16,16,"Craig Hentrich punts 44 yards, fair catch by Will Blackmon",-0.850,-0.040
4,4:24,1,10,GNB 18,16,16,Aaron Rodgers pass complete short left to Donald Driver for 11 yards (tackle by Cortland Finnegan),0.040,0.870
4,3:46,1,10,GNB 29,16,16,Ryan Grant left end for 6 yards (tackle by Stephen Tulloch),0.870,1.140
4,3:40,2,4,GNB 35,16,16,Aaron Rodgers pass incomplete deep right intended for Greg Jennings (defended by Cortland Finnegan),1.140,0.430
4,3:31,3,4,GNB 35,16,16,Aaron Rodgers pass complete short middle to Donald Driver for 20 yards (tackle by Chris Hope),0.430,2.590
4,2:51,1,10,TEN 45,16,16,Aaron Rodgers pass incomplete short right intended for Tory Humphrey,2.590,2.040
4,2:45,2,10,TEN 45,16,16,Aaron Rodgers pass incomplete short middle intended for Jordy Nelson,2.040,1.360
4,2:39,3,10,TEN 45,16,16,Aaron Rodgers pass complete short middle to Brandon Jackson for 2 yards (tackle by Stephen Tulloch),1.360,0.400
4,2:00,4,8,TEN 43,16,16,Derrick Frost punts 35 yards,0.400,0.380
4,1:49,1,10,TEN 8,16,16,Chris Johnson up the middle for 8 yards (tackle by A.J. Hawk and Nick Collins),-0.380,-0.090
4,1:39,,,,16,16,Timeout #1 by Green Bay Packers,0.000,-0.090
4,1:39,2,2,TEN 16,16,16,Chris Johnson up the middle for 4 yards (tackle by Colin Cole and Atari Bigby),-0.090,0.280
4,1:09,1,10,TEN 20,16,16,Kerry Collins pass complete deep right to Justin McCareins for 20 yards (tackle by Tramon Williams),0.280,1.600
4,1:03,1,10,TEN 40,16,16,Kerry Collins pass complete short left to Brandon Jones for 8 yards (tackle by Charles Woodson),1.600,2.130
4,0:41,2,2,TEN 48,16,16,Kerry Collins pass incomplete short middle intended for Chris Johnson,2.130,1.420
4,0:37,3,2,TEN 48,16,16,Kerry Collins pass complete short middle to Brandon Jones for 13 yards (tackle by Charles Woodson),1.420,2.980
4,0:30,,,,16,16,Timeout #1 by Tennessee Titans,0.000,2.980
4,0:30,1,10,GNB 39,16,16,Kerry Collins pass complete short right to Justin McCareins for 7 yards (tackle by Tramon Williams),2.980,3.390
4,0:25,2,3,GNB 32,16,16,Chris Johnson left guard for 3 yards (tackle by Nick Barnett),3.390,3.640
4,0:04,,,,16,16,Timeout #2 by Tennessee Titans,0.000,0.000
4,0:04,,,,16,16,Timeout #2 by Green Bay Packers,0.000,3.640
4,0:04,1,10,GNB 29,16,16,Rob Bironas 47 yard field goal no good,3.640,0.000
Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime
Quarter,Time,Down,ToGo,Location,GNB,TEN,Detail,EPB,EPA
,,,,,,,"Titans won the coin toss, Titans to receive the overtime kickoff.",,
OT,,,,GNB 30,16,16,"Mason Crosby kicks off 71 yards, returned by Chris Carr for 23 yards (tackle by Brandon Chillar)",0.000,0.410
OT,14:55,1,10,TEN 22,16,16,Chris Johnson right end for 4 yards (tackle by Ryan Pickett),0.410,0.410
OT,14:17,2,6,TEN 26,16,16,Kerry Collins pass incomplete short right intended for Bo Scaife (defended by Ryan Pickett),0.410,-0.290
OT,14:13,3,6,TEN 26,16,16,Kerry Collins pass complete short right to Chris Johnson for 16 yards (tackle by Tramon Williams),-0.290,1.730
OT,13:32,1,10,TEN 42,16,16,Chris Johnson right guard for 14 yards (tackle by Nick Collins),1.730,2.650
OT,12:56,1,10,GNB 44,16,16,Chris Johnson left tackle for 3 yards (tackle by Charles Woodson),2.650,2.520
OT,12:16,2,7,GNB 41,16,16,LenDale White up the middle for 3 yards (tackle by Nick Barnett),2.520,2.210
OT,11:40,3,4,GNB 38,16,16,LenDale White left guard for 7 yards (tackle by Mike Montgomery and Nick Barnett),2.210,3.510
OT,10:58,1,10,GNB 31,16,16,Chris Johnson up the middle for 5 yards (tackle by Mike Montgomery and Colin Cole),3.510,3.640
OT,10:22,2,5,GNB 26,16,16,Chris Johnson left end for 3 yards (tackle by Mike Montgomery),3.640,3.340
OT,9:41,,,,16,16,Timeout #1 by Green Bay Packers,0.000,3.340
OT,9:41,3,2,GNB 23,16,19,Rob Bironas 41 yard field goal good,3.340,3.000
End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime
