Unnamed: 0,NYG,TAM
First Downs,27,5
Rush-Yds-TDs,49-226-1,10-28-0
Cmp-Att-Yd-TD-INT,16-27-171-2-0,11-26-58-0-1
Sacked-Yards,0-0,0-0
Net Pass Yards,171,58
Total Yards,397,86
Fumbles-Lost,0-0,0-0
Turnovers,0,1
Penalties-Yards,5-60,5-25
Third Down Conv.,10-16,0-9
Fourth Down Conv.,0-0,1-2
Time of Possession,43:38,16:22
