Quarter,Time,Down,ToGo,Location,NYG,TAM,Detail,EPB,EPA
2,,,,TAM 2,14,0,Lawrence Tynes kicks extra point good,0.000,0.000
2,,,,NYG 30,14,0,"Lawrence Tynes kicks off 70 yards, touchback",0.000,0.280
2,14:54,1,10,TAM 20,14,0,Derrick Ward right guard for no gain (tackle by Antonio Pierce),0.280,-0.270
2,14:21,2,10,TAM 20,14,0,Derrick Ward right guard for no gain (tackle by Antonio Pierce),-0.270,-0.960
2,13:43,3,10,TAM 20,14,0,Byron Leftwich pass complete short right to Derrick Ward for no gain,-0.960,-2.030
2,13:08,4,10,TAM 20,14,0,Dirk Johnson punts 47 yards,-2.030,-1.140
2,12:52,1,10,NYG 33,14,0,Eli Manning pass incomplete,1.140,0.590
2,12:44,2,10,NYG 33,14,0,Ahmad Bradshaw right guard for 1 yard (tackle by Ryan Sims),0.590,0.040
2,12:03,3,9,NYG 34,14,0,Eli Manning pass incomplete deep right intended for Mario Manningham. Penalty on Steve Smith: Illegal Motion (Declined),0.040,-1.110
2,11:55,4,9,NYG 34,14,0,Jeff Feagles punts 47 yards,-1.110,-0.150
2,11:41,1,10,TAM 19,14,0,Cadillac Williams right guard for 5 yards (tackle by Corey Webster),0.150,0.340
2,11:06,2,5,TAM 24,14,0,Byron Leftwich pass complete short right to B.J. Askew for -1 yards (tackle by Michael Boley),0.340,-0.550
2,10:24,3,6,TAM 23,14,0,Byron Leftwich pass complete short left to Cadillac Williams for 3 yards (tackle by Bruce Johnson),-0.550,-1.630
2,9:47,4,3,TAM 26,14,0,"Dirk Johnson punts 39 yards, returned by Ahmad Bradshaw for 8 yards (tackle by Torrie Cox)",-1.630,-1.800
2,9:35,1,10,NYG 43,14,0,Brandon Jacobs left tackle for 3 yards (tackle by Barrett Ruud),1.800,1.660
2,8:57,2,7,NYG 46,14,0,Eli Manning pass incomplete short right intended for Darcy Johnson,1.660,0.960
2,8:51,3,7,NYG 46,14,0,Eli Manning pass incomplete short middle intended for Kevin Boss,0.960,-0.320
2,8:44,4,7,NYG 46,14,0,"Jeff Feagles punts 46 yards, returned by Clifton Smith for 9 yards (tackle by Mathias Kiwanuka)",-0.320,0.060
2,8:31,1,10,TAM 17,14,0,Derrick Ward right guard for -5 yards (tackle by Fred Robbins),-0.060,-1.150
2,7:53,2,15,TAM 12,14,0,Byron Leftwich left end for 4 yards (tackle by Danny Clark),-1.150,-1.410
2,7:10,3,11,TAM 16,14,0,Byron Leftwich pass incomplete short left intended for Kellen Winslow,-1.410,-2.390
2,7:03,4,11,TAM 16,14,0,"Dirk Johnson punts 40 yards, returned by Ahmad Bradshaw for 3 yards (tackle by Brian Clark). Penalty on Bruce Johnson: Offensive Holding, 10 yards",-2.390,-1.400
2,6:51,1,10,NYG 37,14,0,Eli Manning pass complete short right to Mario Manningham for 12 yards (tackle by Will Allen),1.400,2.190
2,6:12,1,10,NYG 49,14,0,Brandon Jacobs middle for 8 yards (tackle by Roy Miller),2.190,2.730
2,5:30,2,2,TAM 43,14,0,Brandon Jacobs right guard for 1 yard (tackle by Will Allen and Barrett Ruud),2.730,2.150
2,4:46,3,1,TAM 42,14,0,Ahmad Bradshaw middle for 7 yards (tackle by Will Allen),2.150,3.250
2,4:03,1,10,TAM 35,14,0,Ahmad Bradshaw right end for 8 yards (tackle by Tim Crowder),3.250,3.780
2,3:23,2,2,TAM 27,14,0,Ahmad Bradshaw left tackle for 2 yards (tackle by Geno Hayes),3.780,3.910
2,2:40,1,10,TAM 25,14,0,Eli Manning pass incomplete short right intended for Madison Hedgecock,3.910,3.360
2,2:35,2,10,TAM 25,14,0,Brandon Jacobs middle for 1 yard (tackle by Jimmy Wilkerson),3.360,2.810
2,2:00,3,9,TAM 24,14,0,Eli Manning pass complete short left to Mario Manningham for 13 yards (tackle by Elbert Mack),2.810,4.840
2,1:22,1,10,TAM 11,14,0,Eli Manning pass incomplete short left intended for Kevin Boss,4.840,4.140
2,1:16,2,10,TAM 11,14,0,Brandon Jacobs right guard for 9 yards (tackle by Ronde Barber),4.140,5.120
2,1:09,,,,14,0,Timeout #1 by New York Giants,0.000,5.120
2,1:09,3,1,TAM 2,14,0,Brandon Jacobs left guard for -1 yards (tackle by Sabby Piscitelli),5.120,3.050
2,0:25,4,2,TAM 3,14,0,Lawrence Tynes 21 yard field goal no good,3.050,-0.280
2,0:17,1,10,TAM 20,14,0,Byron Leftwich kneels for -1 yards,0.280,-0.460
Quarter,Time,Down,ToGo,Location,NYG,TAM,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,NYG 30,14,0,"Lawrence Tynes kicks off 70 yards, returned by Clifton Smith for 26 yards (tackle by Bryan Kehl)",0.000,0.670
3,14:51,1,10,TAM 26,14,0,Derrick Ward middle for no gain (tackle by C.C. Brown and Antonio Pierce),0.670,0.130
3,14:19,2,10,TAM 26,14,0,Byron Leftwich pass complete short left to Jerramy Stevens for 6 yards (tackle by Corey Webster),0.130,0.230
3,13:33,3,4,TAM 32,14,0,Byron Leftwich pass incomplete short middle intended for Michael Clayton (defended by Bruce Johnson),0.230,-1.240
3,13:27,4,4,TAM 32,14,0,"Dirk Johnson punts 48 yards, returned by Ahmad Bradshaw for 8 yards (tackle by Brian Clark)",-1.240,-0.810
3,13:13,1,10,NYG 28,14,0,Eli Manning pass incomplete short left intended for Brandon Jacobs,0.810,0.260
3,13:08,2,10,NYG 28,14,0,Brandon Jacobs right guard for -2 yards (tackle by Gaines Adams),0.260,-0.690
3,12:26,3,12,NYG 26,14,0,Eli Manning pass complete deep middle to Mario Manningham for 20 yards (tackle by Barrett Ruud),-0.690,1.990
3,11:40,1,10,NYG 46,14,0,Ahmad Bradshaw left tackle for no gain (tackle by Stylez G. White and Barrett Ruud),1.990,1.450
3,11:01,2,10,NYG 46,14,0,Ahmad Bradshaw middle for 11 yards (tackle by Will Allen and Barrett Ruud),1.450,2.720
3,10:16,1,10,TAM 43,14,0,Brandon Jacobs middle for 2 yards (tackle by Geno Hayes),2.720,2.450
3,9:36,2,8,TAM 41,14,0,"Brandon Jacobs left tackle for 5 yards (tackle by Roy Miller). Penalty on Ronde Barber: Illegal Use of Hands, 5 yards",2.450,3.510
3,9:14,1,10,TAM 31,14,0,"Penalty on Steve Smith: False Start, 5 yards (no play)",3.510,3.180
3,8:43,,,,14,0,Timeout #1 by New York Giants,0.000,3.180
3,8:43,1,15,TAM 36,14,0,Eli Manning pass complete deep left to Kevin Boss for 24 yards (tackle by Will Allen),3.180,4.780
3,8:00,1,10,TAM 12,14,0,Ahmad Bradshaw left end for -2 yards (tackle by Geno Hayes),4.780,3.790
3,7:18,2,12,TAM 14,14,0,Ahmad Bradshaw right guard for 2 yards (tackle by Chris Hovan),3.790,3.120
3,6:34,3,10,TAM 12,14,0,Ahmad Bradshaw left guard for 4 yards (tackle by Geno Hayes and Sabby Piscitelli),3.120,2.960
3,5:53,4,6,TAM 8,17,0,Lawrence Tynes 26 yard field goal good,2.960,3.000
3,,,,NYG 30,17,0,"Lawrence Tynes kicks off 55 yards, returned by Tim Crowder for 11 yards (tackle by Bruce Johnson)",0.000,0.670
3,5:41,1,10,TAM 26,17,0,Byron Leftwich pass complete short right to Kellen Winslow for 7 yards (tackle by Corey Webster),0.670,1.070
3,5:06,2,3,TAM 33,17,0,Cadillac Williams middle for 3 yards (tackle by Danny Clark and Rocky Bernard),1.070,1.330
3,4:29,1,10,TAM 36,17,0,Byron Leftwich pass incomplete short left intended for Antonio Bryant (defended by Antonio Pierce),1.330,0.790
3,4:21,2,10,TAM 36,17,0,Byron Leftwich pass incomplete short left intended for Kellen Winslow,0.790,0.100
3,4:14,3,10,TAM 36,17,0,Byron Leftwich pass incomplete short right intended for Michael Clayton,0.100,-0.980
3,4:05,4,10,TAM 36,17,0,"Dirk Johnson punts 43 yards, returned by Sinorice Moss for 7 yards (tackle by Adam Hayward)",-0.980,-0.810
3,3:52,1,10,NYG 28,17,0,Ahmad Bradshaw right tackle for 2 yards (tackle by Roy Miller),0.810,0.530
3,3:16,2,8,NYG 30,17,0,Eli Manning pass incomplete short right intended for Mario Manningham,0.530,-0.160
3,3:11,,,,17,0,Timeout #1 by Tampa Bay Buccaneers,0.000,-0.160
3,3:11,3,8,NYG 30,17,0,Eli Manning for 9 yards (tackle by Barrett Ruud),-0.160,1.530
3,2:47,1,10,NYG 39,17,0,Ahmad Bradshaw middle for 9 yards (tackle by Will Allen),1.530,2.200
3,2:01,2,1,NYG 48,17,0,Brandon Jacobs right end for 5 yards (tackle by Barrett Ruud),2.200,2.460
3,1:29,1,10,TAM 47,17,0,Eli Manning pass complete short right to Steve Smith for 9 yards (tackle by Aqib Talib),2.460,3.130
3,0:53,2,1,TAM 38,17,0,Brandon Jacobs left guard for 11 yards (tackle by Sabby Piscitelli),3.130,3.780
3,0:08,1,10,TAM 27,17,0,Brandon Jacobs right guard for 2 yards (tackle by Adam Hayward),3.780,3.500
Quarter,Time,Down,ToGo,Location,NYG,TAM,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,8,TAM 25,17,0,Brandon Jacobs left tackle for no gain (tackle by Chris Hovan),3.500,2.810
4,14:16,3,8,TAM 25,17,0,Eli Manning pass complete short right to Steve Smith for 10 yards (tackle by Sabby Piscitelli),2.810,4.580
,,,,,,,"TAM challenged the pass completion ruling, and the play was upheld.",,
4,13:46,1,10,TAM 15,17,0,"Eli Manning pass complete short right to Steve Smith for no gain. Penalty on Steve Smith: Illegal Touch Pass, 5 yards (no play)",4.580,4.240
4,13:14,1,15,TAM 20,17,0,Brandon Jacobs right tackle for 2 yards (tackle by Chris Hovan and Stylez G. White),4.240,3.560
4,12:35,2,13,TAM 18,23,0,"Eli Manning pass complete deep right to Sinorice Moss for 18 yards, touchdown",3.560,7.000
4,,,,TAM 2,24,0,Lawrence Tynes kicks extra point good,0.000,0.000
4,,,,NYG 30,24,0,"Lawrence Tynes kicks off 48 yards, fair catch by Tim Crowder",0.000,0.410
4,12:26,1,10,TAM 22,24,0,Byron Leftwich pass incomplete short middle intended for Kellen Winslow,0.410,-0.130
4,12:21,2,10,TAM 22,24,0,Byron Leftwich pass incomplete short right intended for Michael Clayton,-0.130,-0.820
4,12:13,3,10,TAM 22,24,0,Byron Leftwich pass incomplete short middle intended for Jerramy Stevens. Penalty on Donald Penn: Offensive Holding (Declined),-0.820,-1.900
4,12:07,4,10,TAM 22,24,0,Dirk Johnson punts 36 yards,-1.900,-1.730
4,11:57,1,10,NYG 42,24,0,Brandon Jacobs right tackle for 2 yards (tackle by Ryan Sims),1.730,1.460
4,11:15,2,8,NYG 44,24,0,"Gartrell Johnson right guard for 19 yards (tackle by Will Allen). Penalty on Kevin Boss: Clipping, 15 yards (no play)",1.460,-0.570
4,10:44,2,23,NYG 29,24,0,David Carr pass complete short right to Kevin Boss for 3 yards (tackle by Aqib Talib),-0.570,-0.820
4,9:57,3,20,NYG 32,24,0,David Carr pass incomplete short middle intended for Gartrell Johnson,-0.820,-1.240
4,9:50,4,20,NYG 32,24,0,"Jeff Feagles punts 56 yards, returned by Clifton Smith for 12 yards (tackle by Gerris Wilkinson)",-1.240,-0.540
4,9:33,1,10,TAM 24,24,0,Josh Johnson pass complete short left to Antonio Bryant for 6 yards (tackle by Danny Clark),0.540,0.810
4,9:08,2,4,TAM 30,24,0,"Penalty on Jeremy Trueblood: False Start, 5 yards (no play)",0.810,0.130
4,8:50,2,9,TAM 25,24,0,Josh Johnson right end for 15 yards (tackle by Terrell Thomas),0.130,1.600
4,8:16,1,10,TAM 40,24,0,"Josh Johnson pass incomplete deep right intended for Michael Clayton. Penalty on Bruce Johnson: Defensive Pass Interfere, 25 yards (no play)",1.600,3.250
4,8:07,1,10,NYG 35,24,0,Josh Johnson pass incomplete short right intended for Antonio Bryant,3.250,2.700
4,8:02,2,10,NYG 35,24,0,Josh Johnson pass complete short right to Derrick Ward for 7 yards (tackle by Michael Boley),2.700,2.940
4,7:32,3,3,NYG 28,24,0,Josh Johnson pass incomplete short middle intended for Kellen Winslow,2.940,1.680
4,7:25,4,3,NYG 28,24,0,Josh Johnson pass complete short left to Sammie Stroughter for 8 yards (tackle by C.C. Brown),1.680,4.240
4,6:54,1,10,NYG 20,24,0,Josh Johnson pass complete short right to Sammie Stroughter for 15 yards (tackle by Bruce Johnson),4.240,6.060
4,6:23,1,5,NYG 5,24,0,Josh Johnson pass incomplete short middle intended for Michael Clayton,6.060,5.150
4,6:14,2,5,NYG 5,24,0,Josh Johnson pass incomplete short middle intended for Antonio Bryant,5.150,4.260
4,6:06,3,5,NYG 5,24,0,Josh Johnson pass incomplete short middle intended for Jerramy Stevens (defended by Antonio Pierce),4.260,3.010
4,6:00,4,5,NYG 5,24,0,Josh Johnson pass incomplete short left intended for Sammie Stroughter,3.010,0.380
4,5:53,1,10,NYG 5,24,0,Gartrell Johnson left end for 4 yards (tackle by Barrett Ruud),-0.380,-0.490
4,5:12,2,6,NYG 9,24,0,Gartrell Johnson left tackle for 11 yards (tackle by Sabby Piscitelli),-0.490,0.280
4,4:27,1,10,NYG 20,24,0,"Gartrell Johnson right end for 2 yards (tackle by Quincy Black). Penalty on Chris Hovan: Defensive Holding, 5 yards",0.280,0.740
4,4:27,1,10,NYG 27,24,0,Gartrell Johnson right end for 3 yards (tackle by Tim Crowder),0.740,0.600
4,3:38,2,7,NYG 30,24,0,Gartrell Johnson left end for 2 yards (tackle by Barrett Ruud),0.600,0.170
4,2:56,3,5,NYG 32,24,0,David Carr pass complete short left to Travis Beckum for 7 yards (tackle by Tim Crowder),0.170,1.530
4,2:13,1,10,NYG 39,24,0,Ahmad Bradshaw right end for 8 yards (tackle by Will Allen),1.530,2.070
4,2:00,2,2,NYG 47,24,0,Gartrell Johnson left guard for 1 yard (tackle by Jimmy Wilkerson),2.070,1.490
4,1:19,3,1,NYG 48,24,0,"Gartrell Johnson right tackle for 2 yards (tackle by Chris Hovan and Sabby Piscitelli). Penalty on Stylez G. White: Defensive Offside, 5 yards (no play)",1.490,2.460
4,1:19,1,10,TAM 47,24,0,David Carr kneels for -1 yards,2.460,1.780
4,0:37,2,11,TAM 48,24,0,David Carr kneels for -1 yards,1.780,0.960
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
