Quarter,Time,Tm,Detail,DET,ARI
1.0,10:29,Lions,Kevin Jones 4 yard rush (Jason Hanson kick),7,0
,2:47,Cardinals,Neil Rackers 23 yard field goal,7,3
2.0,7:00,Cardinals,Larry Fitzgerald 1 yard pass from Kurt Warner (Neil Rackers kick),7,10
,0:18,Cardinals,Leonard Pope 2 yard pass from Tim Rattay (Neil Rackers kick),7,17
3.0,7:31,Cardinals,Leonard Pope 16 yard pass from Kurt Warner (Neil Rackers kick),7,24
,2:52,Lions,Roy Williams 7 yard pass from Jon Kitna (Jason Hanson kick),14,24
4.0,13:23,Cardinals,Larry Fitzgerald 20 yard pass from Kurt Warner (Neil Rackers kick),14,31
,1:15,Lions,Roy Williams 7 yard pass from Jon Kitna (Jason Hanson kick),21,31
