Unnamed: 0,DET,ARI
First Downs,16,21
Rush-Yds-TDs,8--18-1,28-73-0
Cmp-Att-Yd-TD-INT,32-45-296-2-2,27-37-261-4-1
Sacked-Yards,4-31,2-15
Net Pass Yards,265,246
Total Yards,247,319
Fumbles-Lost,4-3,3-3
Turnovers,5,4
Penalties-Yards,10-70,9-70
Third Down Conv.,4-10,5-11
Fourth Down Conv.,0-1,0-0
Time of Possession,25:32,34:28
