Quarter,Time,Tm,Detail,CLE,BAL
1.0,7:29,Browns,Jamel White 3 yard rush (Phil Dawson kick),7,0
,0:42,Ravens,Matt Stover 31 yard field goal,7,3
2.0,4:30,Ravens,Travis Taylor 17 yard pass from Jeff Blake (Matt Stover kick),7,10
3.0,5:03,Ravens,Matt Stover 43 yard field goal,7,13
4.0,0:29,Browns,Mark Campbell 1 yard pass from Tim Couch (Phil Dawson kick),14,13
