Unnamed: 0,CLE,BAL
First Downs,19,16
Rush-Yds-TDs,26-63-1,29-146-0
Cmp-Att-Yd-TD-INT,22-31-209-1-1,16-28-143-1-1
Sacked-Yards,2-16,2-14
Net Pass Yards,193,129
Total Yards,256,275
Fumbles-Lost,0-0,2-0
Turnovers,1,1
Penalties-Yards,7-70,6-40
Third Down Conv.,5-11,7-14
Fourth Down Conv.,1-1,0-0
Time of Possession,29:46,30:14
