Quarter,Time,Down,ToGo,Location,MIA,NYJ,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Dolphins won the coin toss and deferred, Jets to receive the opening kickoff.",,
1,15:00,,,MIA 30,0,0,"Dan Carpenter kicks off 44 yards, returned by Robert Turner for 9 yards (tackle by Reggie Torbor)",0.000,1.270
1,14:55,1,10,NYJ 35,0,0,Brett Favre pass incomplete deep middle intended for Jerricho Cotchery (defended by Akin Ayodele),1.270,0.720
1,14:49,2,10,NYJ 35,0,0,Thomas Jones right guard for 4 yards (tackle by Vonnie Holliday),0.720,0.560
1,14:49,3,6,NYJ 39,0,0,"Penalty on Phillip Merling: Neutral Zone Infraction, 5 yards (no play)",0.560,1.220
1,13:40,3,1,NYJ 44,0,0,Brett Favre pass complete short left to Leon Washington for 9 yards (tackle by Channing Crowder),1.220,2.460
1,13:22,1,10,MIA 47,0,0,"Leon Washington right tackle for 4 yards. Penalty on Jason Ferguson: Defensive Holding, 5 yards",2.460,3.050
1,12:58,1,10,MIA 38,0,0,Brett Favre pass incomplete deep right intended for Laveranues Coles,3.050,2.510
1,12:52,2,10,MIA 38,0,0,Thomas Jones left guard for 1 yard (tackle by Joey Porter and Akin Ayodele),2.510,1.950
1,12:04,3,9,MIA 37,0,0,Brett Favre pass incomplete short left intended for Dustin Keller,1.950,0.790
1,11:59,4,9,MIA 37,0,0,Reggie Hodges punts 33 yards,0.790,0.380
1,11:50,1,10,MIA 4,0,0,Ronnie Brown right end for 2 yards (tackle by Kris Jenkins),-0.380,-0.630
1,11:07,2,8,MIA 6,0,0,Chad Pennington pass complete short left to Davone Bess for 5 yards (tackle by Darrelle Revis),-0.630,-0.600
1,10:24,3,3,MIA 11,0,0,Ricky Williams right end for 7 yards (tackle by C.J. Mosley),-0.600,0.040
1,9:41,1,10,MIA 18,0,0,Chad Pennington pass complete short left to Ronnie Brown for 2 yards (tackle by Kenyon Coleman),0.040,-0.130
1,8:53,2,8,MIA 20,0,0,Ricky Williams up the middle for 1 yard (tackle by Bryan Thomas and Kenyon Coleman),-0.130,-0.790
1,8:09,3,7,MIA 21,0,0,Chad Pennington pass incomplete short left intended for Ted Ginn Jr.,-0.790,-1.960
1,8:00,4,7,MIA 21,0,0,Brandon Fields punts 33 yards,-1.960,-1.990
1,7:52,1,10,NYJ 46,0,0,Thomas Jones right guard for 4 yards (tackle by Akin Ayodele),1.990,1.990
1,7:11,2,6,,0,0,Brett Favre pass incomplete deep left intended for Leon Washington is intercepted by Andre' Goodman at MIA-21,1.990,-0.340
1,7:03,1,10,MIA 21,0,0,Ronnie Brown right guard for no gain (tackle by David Harris and Mike DeVito),0.340,-0.200
1,6:22,2,10,MIA 21,0,0,Ronnie Brown up the middle for 5 yards (tackle by Kerry Rhodes and Mike DeVito),-0.200,-0.230
1,5:43,3,5,MIA 26,0,0,Chad Pennington pass complete short middle to David Martin for 8 yards (tackle by David Bowens),-0.230,1.200
1,5:43,1,10,MIA 34,0,0,Chad Pennington pass complete short left to Ricky Williams for 3 yards (tackle by Eric Barton),1.200,1.060
1,4:19,2,7,MIA 37,0,0,Ronnie Brown right tackle for 7 yards (tackle by Abram Elam),1.060,1.860
1,3:45,1,10,MIA 44,0,0,Ronnie Brown up the middle for 6 yards (tackle by Kris Jenkins and Calvin Pace),1.860,2.130
1,3:05,2,4,,0,0,Ricky Williams right end for 2 yards (tackle by David Harris and Kenyon Coleman),2.130,1.690
1,2:22,3,2,NYJ 48,0,0,Chad Pennington pass complete short right to Patrick Cobbs for 5 yards (tackle by Kris Jenkins),1.690,2.720
1,1:37,1,10,NYJ 43,0,0,Ronnie Brown right tackle for 3 yards (tackle by David Bowens),2.720,2.580
1,0:59,2,7,NYJ 40,0,0,Chad Pennington pass incomplete deep right intended for Ricky Williams,2.580,1.880
1,0:50,,,,0,0,Timeout #1 by Miami Dolphins,0.000,1.880
1,0:50,3,7,NYJ 40,0,0,"Penalty on Andy Alleman: False Start, 5 yards (no play)",1.880,1.220
1,0:50,,,,0,0,Timeout #1 by New York Jets,0.000,1.220
1,0:50,3,12,NYJ 45,0,0,"Penalty on Ikechuku Ndukwe: False Start, 5 yards (no play)",1.220,0.560
1,0:50,3,17,,0,0,Chad Pennington pass complete short left to Ronnie Brown for 4 yards (tackle by Dwight Lowery),0.560,0.200
