Unnamed: 0,DET,STL
First Downs,22,15
Rush-Yds-TDs,20-111-0,29-203-2
Cmp-Att-Yd-TD-INT,30-46-245-2-1,14-22-124-0-1
Sacked-Yards,4-25,1-10
Net Pass Yards,220,114
Total Yards,331,317
Fumbles-Lost,1-0,2-1
Turnovers,1,2
Penalties-Yards,5-45,5-48
Third Down Conv.,5-13,4-11
Fourth Down Conv.,0-1,0-0
Time of Possession,33:50,26:10
