Quarter,Time,Tm,Detail,CAR,BUF
2.0,10:41,Bills,Dan Carpenter 55 yard field goal,0,3
,0:13,Panthers,Greg Olsen 13 yard pass from Cam Newton (Graham Gano kick),7,3
3.0,10:49,Bills,Dan Carpenter 20 yard field goal,7,6
,6:52,Panthers,Ted Ginn Jr. 40 yard pass from Cam Newton (Graham Gano kick),14,6
,4:15,Bills,Fred Jackson 4 yard rush (Robert Woods pass from EJ Manuel),14,14
4.0,12:44,Panthers,Graham Gano 27 yard field goal,17,14
,8:41,Panthers,Graham Gano 25 yard field goal,20,14
,7:13,Bills,Dan Carpenter 48 yard field goal,20,17
,1:38,Panthers,Graham Gano 39 yard field goal,23,17
,0:02,Bills,Stevie Johnson 2 yard pass from EJ Manuel (Dan Carpenter kick),23,24
