Unnamed: 0,CAR,BUF
First Downs,25,24
Rush-Yds-TDs,32-125-0,33-149-1
Cmp-Att-Yd-TD-INT,21-38-229-2-1,27-39-296-1-1
Sacked-Yards,6-46,1-9
Net Pass Yards,183,287
Total Yards,308,436
Fumbles-Lost,0-0,1-1
Turnovers,1,2
Penalties-Yards,3-30,7-55
Third Down Conv.,7-16,6-14
Fourth Down Conv.,0-0,0-0
Time of Possession,33:41,26:19
