Quarter,Time,Tm,Detail,BUF,NYJ
1.0,1:38,Bills,David Nelson 8 yard pass from Ryan Fitzpatrick (Dave Rayner kick),7,0
2.0,12:02,Jets,Dustin Keller 3 yard pass from Mark Sanchez (Nick Folk kick),7,7
,2:06,Bills,Stevie Johnson 5 yard pass from Ryan Fitzpatrick (Dave Rayner kick),14,7
,1:03,Jets,Plaxico Burress 14 yard pass from Mark Sanchez (Nick Folk kick),14,14
3.0,3:50,Jets,Dustin Keller 18 yard pass from Mark Sanchez (Nick Folk kick),14,21
,2:11,Bills,Brad Smith 36 yard pass from Ryan Fitzpatrick (Dave Rayner kick),21,21
4.0,9:46,Bills,Dave Rayner 53 yard field goal,24,21
,1:01,Jets,Santonio Holmes 16 yard pass from Mark Sanchez (Nick Folk kick),24,28
