Quarter,Time,Down,ToGo,Location,BAL,LAR,Detail,EPB,EPA
1,5:20,1,10,BAL 39,7,0,Mark Ingram right tackle for 19 yards (tackle by Jalen Ramsey and Michael Brockers),1.530,2.790
1,4:42,1,10,LAR 42,7,0,Gus Edwards right tackle for 10 yards (tackle by Taylor Rapp),2.790,3.450
1,4:04,1,10,LAR 32,7,0,Gus Edwards up the middle for 3 yards (tackle by Eric Weddle and Sebastian Joseph),3.450,3.310
1,3:23,2,7,LAR 29,7,0,Lamar Jackson sacked by Samson Ebukam for -5 yards,3.310,1.950
1,2:39,3,12,LAR 34,7,0,Mark Ingram up the middle for 11 yards (tackle by David Long),1.950,2.080
1,2:06,4,1,LAR 23,7,0,Lamar Jackson left tackle for 5 yards (tackle by Sebastian Joseph),2.080,4.370
1,1:37,1,10,LAR 18,13,0,"Lamar Jackson pass complete deep middle to Marquise Brown for 18 yards, touchdown",4.370,7.000
1,1:31,,,LAR 15,14,0,Justin Tucker kicks extra point good,0.000,0.000
1,1:31,,,BAL 35,14,0,"Justin Tucker kicks off 65 yards, touchback.",0.000,0.610
1,1:31,1,10,LAR 25,14,0,"Todd Gurley right tackle for 2 yards (tackle by Marcus Peters). Penalty on Domata Peko: Defensive Holding, 5 yards",0.610,1.070
1,1:03,1,10,LAR 32,14,0,Jared Goff pass complete short left to Todd Gurley for 4 yards (tackle by Marcus Peters and Patrick Onwuasor),1.070,1.070
1,0:40,2,6,LAR 36,14,0,Jared Goff pass complete short right to Josh Reynolds for 6 yards (tackle by Marcus Peters),1.070,1.730
Quarter,Time,Down,ToGo,Location,BAL,LAR,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,LAR 42,14,0,Todd Gurley left tackle for 15 yards (tackle by Chuck Clark),1.730,2.720
2,14:28,1,10,BAL 43,14,0,Todd Gurley left guard for 2 yards (tackle by Patrick Onwuasor and Josh Bynes),2.720,2.450
2,13:51,2,8,BAL 41,14,0,Jared Goff pass incomplete deep right intended for Brandin Cooks,2.450,1.750
2,13:45,,,,,,Timeout #1 by Los Angeles Rams,,
2,13:45,3,8,BAL 41,14,0,Jared Goff pass complete short right to Brandin Cooks for 10 yards,1.750,3.510
2,13:08,1,10,BAL 31,14,0,Malcolm Brown left tackle for no gain (tackle by Jaylon Ferguson and Chris Wormley),3.510,2.970
2,12:32,2,10,BAL 31,14,0,Jared Goff pass complete short left to Gerald Everett for 15 yards (tackle by Brandon Carr),2.970,4.510
2,12:27,1,10,BAL 16,14,0,Todd Gurley up the middle for -1 yards (tackle by Jaylon Ferguson),4.510,3.770
2,11:57,2,11,BAL 17,14,0,Jared Goff pass incomplete short left intended for Cooper Kupp,3.770,3.020
2,11:52,3,11,BAL 17,14,0,"Jared Goff pass incomplete short right intended for Cooper Kupp. Penalty on Marlon Humphrey: Defensive Holding, 5 yards (no play)",3.020,4.780
2,11:47,1,10,BAL 12,14,0,Jared Goff pass complete short left to Tyler Higbee for 5 yards (tackle by Marlon Humphrey and Josh Bynes),4.780,5.020
2,11:28,2,5,BAL 7,14,0,"Penalty on Austin Corbett: False Start, 5 yards (no play)",5.020,4.100
2,11:02,2,10,BAL 12,14,0,Jared Goff pass complete short left to Todd Gurley for -7 yards (tackle by Josh Bynes),4.100,2.610
2,10:33,,,,,,Timeout #1 by Baltimore Ravens,,
2,10:33,3,17,BAL 19,14,0,Jared Goff pass complete short right to Cooper Kupp for 5 yards (tackle by Marlon Humphrey and Marcus Peters),2.610,2.510
2,9:50,4,12,BAL 14,14,3,Greg Zuerlein 32 yard field goal good,2.510,3.000
2,9:45,,,LAR 35,14,3,"Greg Zuerlein kicks off 65 yards, touchback.",0.000,0.610
2,9:45,1,10,BAL 25,14,3,Lamar Jackson sacked by and Greg Gaines for -4 yards and Samson Ebukam for -4 yards. Penalty on Nick Boyle: Offensive Holding (Declined),0.610,-0.480
2,9:17,2,14,BAL 21,14,3,Lamar Jackson pass complete short right to Marquise Brown for 8 yards (tackle by Cory Littleton),-0.480,-0.100
2,8:35,3,6,BAL 29,14,3,Lamar Jackson pass complete short middle to Seth Roberts for 13 yards (tackle by Eric Weddle),-0.100,1.730
2,7:52,1,10,BAL 42,14,3,"Gus Edwards right tackle for 3 yards (tackle by Taylor Rapp and Sebastian Joseph). Penalty on Tanzel Smart: Defensive Offside, 5 yards (no play)",1.730,2.460
2,7:26,1,5,BAL 47,14,3,Lamar Jackson left end for 12 yards (tackle by Troy Hill),2.460,2.850
2,6:54,1,10,LAR 41,14,3,Lamar Jackson pass complete short right to Nick Boyle for 7 yards,2.850,3.250
2,6:19,2,3,LAR 34,14,3,Mark Ingram up the middle for 4 yards (tackle by Taylor Rapp and Cory Littleton),3.250,3.580
2,5:39,1,10,LAR 30,14,3,"Lamar Jackson for 29 yards. Lamar Jackson fumbles, recovered by Lamar Jackson at LA-36",3.580,6.970
2,4:46,,,,,,Timeout #2 by Baltimore Ravens,,
2,4:46,1,1,LAR 1,20,3,"Mark Ingram up the middle for 1 yard, touchdown",6.970,7.000
2,4:42,,,LAR 15,21,3,Justin Tucker kicks extra point good,0.000,0.000
2,4:42,,,BAL 35,21,3,"Justin Tucker kicks off 64 yards, returned by Jojo Natson for 23 yards (tackle by Anthony Levine)",0.000,0.540
2,4:36,1,10,LAR 24,21,3,Jared Goff pass complete short right to Robert Woods for 17 yards (tackle by Marcus Peters and Chuck Clark),0.540,1.660
2,4:06,1,10,LAR 41,21,3,"Jared Goff pass complete deep middle to Brandin Cooks for 22 yards (tackle by Jimmy Smith). Penalty on Chuck Clark: Unsportsmanlike Conduct, 15 yards",1.660,4.110
2,3:32,1,10,BAL 22,21,3,Jared Goff pass complete short left to Robert Woods for 5 yards (tackle by Chris Wormley),4.110,4.290
2,2:49,2,5,BAL 17,21,3,"Penalty on Robert Woods: False Start, 5 yards (no play)",4.290,3.560
2,2:32,2,10,BAL 22,21,3,Jared Goff pass incomplete deep left intended for Tyler Higbee,3.560,2.870
2,2:27,3,10,BAL 22,21,3,"Jared Goff sacked by Matt Judon for -5 yards. Jared Goff fumbles (forced by Matt Judon), recovered by David Edwards at BAL-28",2.870,1.590
2,2:00,4,16,BAL 28,21,6,Greg Zuerlein 46 yard field goal good,1.590,3.000
2,1:55,,,LAR 35,21,6,"Greg Zuerlein kicks off 65 yards, touchback.",0.000,0.610
2,1:55,1,10,BAL 25,21,6,Justice Hill up the middle for 6 yards (tackle by Sebastian Joseph),0.610,0.870
2,1:29,2,4,BAL 31,21,6,"Lamar Jackson pass complete short middle to Mark Andrews for 7 yards (tackle by Cory Littleton). Penalty on Cory Littleton: Unnecessary Roughness, 15 yards",0.870,2.460
2,1:22,1,10,LAR 47,21,6,Lamar Jackson right end for 12 yards (tackle by Jalen Ramsey),2.460,3.250
2,1:16,1,10,LAR 35,21,6,Justice Hill right tackle for 11 yards (tackle by Jalen Ramsey),3.250,3.970
2,0:44,1,10,LAR 24,21,6,Justice Hill right tackle for 1 yard (tackle by Michael Brockers),3.970,3.570
2,0:25,2,9,LAR 23,21,6,Lamar Jackson pass complete short right to Seth Roberts for 16 yards (tackle by Troy Hill),3.570,5.600
2,0:15,,,,,,Timeout #3 by Baltimore Ravens,,
2,0:15,1,7,LAR 7,27,6,"Lamar Jackson pass complete short middle to Willie Snead for 7 yards, touchdown",5.600,7.000
2,0:12,,,LAR 15,28,6,Justin Tucker kicks extra point good,0.000,0.000
2,0:12,,,BAL 35,28,6,"Justin Tucker kicks off 57 yards, returned by Jojo Natson for 21 yards (tackle by Jordan Richards)",0.000,0.870
2,0:07,1,10,LAR 29,28,6,Jared Goff kneels for -1 yards,0.870,0.190
Quarter,Time,Down,ToGo,Location,BAL,LAR,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,LAR 35,28,6,"Greg Zuerlein kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,BAL 25,28,6,Mark Ingram right guard for 4 yards (tackle by Morgan Fox and Michael Brockers),0.610,0.600
3,14:21,2,6,BAL 29,28,6,Mark Ingram right tackle for 7 yards (tackle by Eric Weddle),0.600,1.330
3,13:41,1,10,BAL 36,28,6,Lamar Jackson pass incomplete short middle intended for Willie Snead,1.330,0.790
3,13:35,2,10,BAL 36,28,6,Mark Ingram left end for 2 yards (tackle by Cory Littleton),0.790,0.370
3,12:58,3,8,BAL 38,28,6,Lamar Jackson pass complete short middle to Mark Andrews for 38 yards (tackle by Eric Weddle and Troy Hill),0.370,3.970
3,12:10,1,10,LAR 24,28,6,Gus Edwards right tackle for 2 yards (tackle by Taylor Rapp),3.970,3.700
3,11:28,2,8,LAR 22,28,6,Gus Edwards up the middle for 11 yards (tackle by Eric Weddle and Troy Hill),3.700,4.840
3,10:44,1,10,LAR 11,28,6,Lamar Jackson pass incomplete short right,4.840,4.140
3,10:36,2,10,LAR 11,28,6,Mark Ingram right tackle for 4 yards (tackle by Taylor Rapp and Cory Littleton),4.140,3.980
3,9:52,3,6,LAR 7,34,6,"Lamar Jackson pass complete short middle to Mark Ingram for 7 yards, touchdown",3.980,7.000
3,9:46,,,LAR 15,35,6,Justin Tucker kicks extra point good,0.000,0.000
3,9:46,,,BAL 35,35,6,"Justin Tucker kicks off 65 yards, touchback.",0.000,0.610
3,9:46,1,10,LAR 25,35,6,Jared Goff pass complete short middle to Tyler Higbee for 4 yards (tackle by Chuck Clark),0.610,0.600
3,9:24,2,6,LAR 29,35,6,Jared Goff pass complete short right to Tyler Higbee for 4 yards (tackle by Marcus Peters),0.600,0.430
3,9:01,3,2,LAR 33,35,6,Jared Goff pass incomplete deep left intended for Robert Woods,0.430,-1.180
3,8:56,4,2,LAR 33,35,6,"Penalty on Troy Reeder: False Start, 5 yards (no play)",-1.180,-1.500
3,8:56,4,7,LAR 28,35,6,"Johnny Hekker punts 50 yards, fair catch by De'Anthony Thomas at BAL-22",-1.500,-0.410
3,8:47,1,10,BAL 22,35,6,Mark Ingram right tackle for 7 yards (tackle by Eric Weddle),0.410,0.810
3,8:07,2,3,BAL 29,35,6,Mark Ingram up the middle for 4 yards (tackle by Dante Fowler),0.810,1.140
3,7:29,1,10,BAL 33,35,6,Gus Edwards left guard for 6 yards (tackle by Cory Littleton and Taylor Rapp),1.140,1.400
3,6:50,2,4,BAL 39,35,6,Lamar Jackson pass incomplete deep right intended for Mark Andrews (defended by Eric Weddle),1.400,0.700
3,6:43,3,4,BAL 39,35,6,"Penalty on Ronnie Stanley: False Start, 5 yards (no play)",0.700,0.040
3,6:43,3,9,BAL 34,35,6,Lamar Jackson pass complete short left to Seth Roberts for 10 yards (tackle by Troy Hill),0.040,1.860
3,6:02,1,10,BAL 44,35,6,"Justice Hill up the middle for 2 yards (tackle by Marqui Christian and Samson Ebukam). Penalty on Willie Snead: Illegal Block Above the Waist, 10 yards",1.860,1.330
3,5:33,1,18,BAL 36,35,6,Mark Ingram right tackle for 25 yards (tackle by Dante Fowler),1.330,2.980
3,4:47,1,10,LAR 39,35,6,Gus Edwards left guard for 2 yards (tackle by Eric Weddle and Greg Gaines),2.980,2.710
3,4:07,2,8,LAR 37,35,6,"Lamar Jackson pass incomplete short right. Penalty on Gus Edwards: Chop Block, 16 yards. Penalty on Patrick Mekari: Offensive Holding, 16 yards (no play)",2.710,0.550
3,3:57,2,24,BAL 47,35,6,Lamar Jackson up the middle for 10 yards (tackle by Samson Ebukam and Cory Littleton),0.550,1.220
3,3:12,3,14,LAR 43,35,6,Lamar Jackson left end for 5 yards (tackle by Dante Fowler),1.220,0.720
3,2:34,4,9,LAR 38,35,6,"Penalty on LAR: Defensive Too Many Men on Field, 5 yards (no play)",0.720,1.180
3,2:18,,,,,,Timeout #1 by Baltimore Ravens,,
3,2:18,4,4,LAR 33,35,6,Lamar Jackson pass complete short right to Miles Boykin for 15 yards (tackle by Jalen Ramsey),1.180,4.370
3,1:35,1,10,LAR 18,35,6,Gus Edwards up the middle for 2 yards (tackle by Eric Weddle),4.370,4.090
3,0:51,2,8,LAR 16,35,6,Gus Edwards right tackle for 4 yards (tackle by Michael Brockers),4.090,4.030
3,0:12,3,4,LAR 12,35,6,Lamar Jackson pass complete short middle to Marquise Brown for 5 yards (tackle by Cory Littleton),4.030,5.600
Quarter,Time,Down,ToGo,Location,BAL,LAR,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,7,LAR 7,35,6,Lamar Jackson pass incomplete short right intended for Marquise Brown,5.600,4.760
4,14:56,2,7,LAR 7,35,6,Lamar Jackson pass incomplete short middle intended for Marquise Brown,4.760,3.810
4,14:51,3,7,LAR 7,41,6,"Lamar Jackson pass complete short left to Willie Snead for 7 yards, touchdown",3.810,7.000
4,14:43,,,LAR 15,42,6,Justin Tucker kicks extra point good,0.000,0.000
4,14:43,,,BAL 35,42,6,"Justin Tucker kicks off 65 yards, touchback.",0.000,0.610
4,14:43,1,10,LAR 25,42,6,Jared Goff pass complete short left to Cooper Kupp for 4 yards (tackle by Marlon Humphrey),0.610,0.600
4,14:21,2,6,LAR 29,42,6,Jared Goff pass complete deep right to Robert Woods for 24 yards (tackle by Brandon Carr),0.600,2.460
4,14:09,1,10,BAL 47,42,6,Jared Goff pass incomplete deep right intended for Robert Woods,2.460,1.910
4,14:02,2,10,BAL 47,42,6,"Jared Goff pass incomplete short left intended for Josh Reynolds. Penalty on Earl Thomas: Illegal Contact, 5 yards (no play)",1.910,2.790
4,13:56,1,10,BAL 42,42,6,Jared Goff pass complete short left to Cooper Kupp for 9 yards,2.790,3.460
4,13:37,2,1,BAL 33,42,6,Jared Goff pass incomplete short left,3.460,2.740
4,13:32,3,1,BAL 33,42,6,Todd Gurley left tackle for 3 yards (tackle by Jaylon Ferguson),2.740,3.580
4,13:16,1,10,BAL 30,42,6,Jared Goff pass complete short right to Todd Gurley for no gain (tackle by Jaylon Ferguson),3.580,3.030
4,12:53,2,10,BAL 30,42,6,Jared Goff pass deep right intended for Robert Woods is intercepted by Marcus Peters at BAL-14 and returned for 22 yards,3.030,-1.330
4,12:36,1,10,BAL 36,42,6,Gus Edwards right tackle for 3 yards (tackle by Cory Littleton and Michael Brockers),1.330,1.200
4,11:54,2,7,BAL 39,42,6,Gus Edwards right tackle for 5 yards (tackle by Clay Matthews and Michael Brockers),1.200,1.160
4,11:17,3,2,BAL 44,42,6,Gus Edwards up the middle for 1 yard (tackle by Taylor Rapp and Tanzel Smart),1.160,-0.390
4,10:32,4,1,BAL 45,42,6,Gus Edwards up the middle for 1 yard (tackle by Clay Matthews and Aaron Donald),-0.390,1.990
4,9:47,1,10,BAL 46,42,6,Justice Hill up the middle for 1 yard (tackle by Greg Gaines and Taylor Rapp),1.990,1.590
4,9:03,2,9,BAL 47,42,6,Justice Hill up the middle for 1 yard (tackle by Dante Fowler). Penalty on Patrick Mekari: Offensive Holding (Declined),1.590,1.030
4,8:38,3,8,BAL 48,42,6,Robert Griffin pass complete deep left to Miles Boykin for 39 yards (tackle by Troy Hill),1.030,4.710
4,8:04,1,10,LAR 13,42,6,Gus Edwards up the middle for 1 yard (tackle by Michael Brockers and Samson Ebukam),4.710,4.220
4,7:23,2,9,LAR 12,42,6,Robert Griffin pass incomplete short middle intended for Seth Roberts (defended by Jalen Ramsey),4.220,3.280
4,7:18,,,,,,Timeout #2 by Baltimore Ravens,,
4,7:18,3,9,LAR 12,42,6,Robert Griffin sacked by Michael Brockers for -4 yards,3.280,2.380
4,6:41,4,13,LAR 16,45,6,Justin Tucker 34 yard field goal good,2.380,3.000
4,6:35,,,BAL 35,45,6,"Justin Tucker kicks off 65 yards, touchback.",0.000,0.610
4,6:35,1,10,LAR 25,45,6,Jared Goff pass complete short left to Josh Reynolds for 2 yards (tackle by Tyus Bowser),0.610,0.330
4,6:16,2,8,LAR 27,45,6,"Jared Goff pass complete short right to Tyler Higbee for 12 yards (tackle by Jimmy Smith). Penalty on David Edwards: Offensive Holding, 11 yards (no play)",0.330,-1.290
4,5:50,2,19,LAR 16,45,6,Jared Goff pass incomplete short left intended for Brandin Cooks,-1.290,-2.140
4,5:45,3,19,LAR 16,45,6,Jared Goff pass complete short right to Gerald Everett for 8 yards (tackle by Brandon Carr),-2.140,-1.770
4,5:08,4,11,LAR 24,45,6,"Johnny Hekker punts 47 yards, returned by De'Anthony Thomas for 8 yards (tackle by Malcolm Brown)",-1.770,-1.400
4,4:55,1,10,BAL 37,45,6,Justice Hill up the middle for 1 yard (tackle by Samson Ebukam),1.400,0.990
4,4:11,2,9,BAL 38,45,6,Justice Hill right guard for 4 yards (tackle by Greg Gaines),0.990,0.830
4,3:28,3,5,BAL 42,45,6,Robert Griffin pass incomplete short right intended for Hayden Hurst (defended by Taylor Rapp),0.830,-0.590
4,3:22,4,5,BAL 42,45,6,"Sam Koch punts 48 yards, returned by Jojo Natson for 4 yards (tackle by Iman Marshall)",-0.590,0.280
4,3:09,1,10,LAR 14,45,6,Jared Goff pass complete short left to Cooper Kupp for 9 yards (tackle by Marlon Humphrey),-0.280,0.550
4,3:03,2,1,LAR 23,45,6,Jared Goff pass complete short right to Tyler Higbee for 7 yards (tackle by Matt Judon),0.550,0.940
4,2:46,1,10,LAR 30,45,6,Jared Goff pass complete short left to Cooper Kupp for 2 yards (tackle by Marlon Humphrey),0.940,0.660
4,2:26,2,8,LAR 32,45,6,Jared Goff pass complete short right to Tyler Higbee for no gain (tackle by Brandon Carr),0.660,-0.030
4,2:00,3,8,LAR 32,45,6,Jared Goff pass incomplete deep left intended for Cooper Kupp,-0.030,-1.240
4,1:53,4,8,LAR 32,45,6,Jared Goff pass complete short middle to Robert Woods for 38 yards (tackle by Earl Thomas),-1.240,3.580
4,1:41,1,10,BAL 30,45,6,Jared Goff pass complete short right to Robert Woods for 8 yards (tackle by Marcus Peters),3.580,4.110
4,1:36,2,2,BAL 22,45,6,Jared Goff pass short left intended for Cooper Kupp is intercepted by Jimmy Smith at BAL-14 and returned for 7 yards,4.110,-0.340
4,1:28,1,10,BAL 21,45,6,Robert Griffin kneels for -1 yards,0.340,-0.340
4,0:46,2,11,BAL 20,45,6,Robert Griffin kneels for -1 yards,-0.340,-1.220
4,0:28,3,12,BAL 19,45,6,Robert Griffin kneels for -1 yards,-1.220,-2.240
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
