Unnamed: 0,BAL,LAR
First Downs,31,14
Rush-Yds-TDs,48-285-1,9-22-0
Cmp-Att-Yd-TD-INT,16-23-208-5-0,26-37-212-0-2
Sacked-Yards,3-13,2-13
Net Pass Yards,195,199
Total Yards,480,221
Fumbles-Lost,1-0,1-0
Turnovers,0,2
Penalties-Yards,8-66,8-56
Third Down Conv.,9-15,2-9
Fourth Down Conv.,3-3,1-1
Time of Possession,39:56,20:04
