Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
Marquise Brown,BAL,7,5,42,2,3,39,7.8,3,0.6,6.3,0,,1,14.3,0,126.2
Seth Roberts,BAL,4,3,39,0,3,14,4.7,25,8.3,5.5,0,,0,0.0,0,105.2
Mark Andrews,BAL,3,2,45,0,2,19,9.5,26,13.0,11.7,0,,0,0.0,0,109.7
Miles Boykin,BAL,2,2,54,0,2,52,26.0,2,1.0,26.0,0,,0,0.0,0,118.7
Willie Snead,BAL,3,2,14,2,2,9,4.5,5,2.5,6.7,0,,0,0.0,0,116.7
Nick Boyle,BAL,1,1,7,0,,7,7.0,0,0.0,7.0,0,,0,0.0,0,95.8
Mark Ingram,BAL,1,1,7,1,1,2,2.0,5,5.0,2.0,0,,0,0.0,0,135.4
Hayden Hurst,BAL,1,0,0,0,,0,,0,,8.0,0,,0,0.0,0,39.6
Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
Cooper Kupp,LAR,10,6,35,0,,16,2.7,19,3.2,6.5,0,,1,10.0,1,27.1
Robert Woods,LAR,9,6,97,0,3,51,8.5,46,7.7,15.4,0,,0,0.0,1,63.0
Tyler Higbee,LAR,6,5,20,0,1,7,1.4,13,2.6,4.8,0,,0,0.0,0,80.6
Todd Gurley,LAR,3,3,-3,0,0,-18,-6.0,15,5.0,-6.0,0,,0,0.0,0,79.2
Brandin Cooks,LAR,4,2,32,0,2,31,15.5,1,0.5,18.0,0,,0,0.0,0,77.1
Gerald Everett,LAR,2,2,23,0,1,22,11.0,1,0.5,11.0,0,,0,0.0,0,114.6
Josh Reynolds,LAR,2,2,8,0,1,3,1.5,5,2.5,1.5,0,,0,0.0,0,83.3
