Quarter,Time,Tm,Detail,BAL,LAR
1.0,7:47,Ravens,Marquise Brown 6 yard pass from Lamar Jackson (Justin Tucker kick),7,0
,1:31,Ravens,Marquise Brown 18 yard pass from Lamar Jackson (Justin Tucker kick),14,0
2.0,9:45,Rams,Greg Zuerlein 32 yard field goal,14,3
,4:42,Ravens,Mark Ingram 1 yard rush (Justin Tucker kick),21,3
,1:55,Rams,Greg Zuerlein 46 yard field goal,21,6
,0:12,Ravens,Willie Snead 7 yard pass from Lamar Jackson (Justin Tucker kick),28,6
3.0,9:46,Ravens,Mark Ingram 7 yard pass from Lamar Jackson (Justin Tucker kick),35,6
4.0,14:43,Ravens,Willie Snead 7 yard pass from Lamar Jackson (Justin Tucker kick),42,6
,6:35,Ravens,Justin Tucker 34 yard field goal,45,6
