Unnamed: 0,HOU,OAK
First Downs,10,21
Rush-Yds-TDs,32-129-1,26-113-1
Cmp-Att-Yd-TD-INT,7-14-32-0-0,25-42-238-0-2
Sacked-Yards,5-37,5-49
Net Pass Yards,-5,189
Total Yards,124,302
Fumbles-Lost,3-2,3-3
Turnovers,2,5
Penalties-Yards,5-46,7-60
Third Down Conv.,2-12,4-12
Fourth Down Conv.,0-0,0-0
Time of Possession,26:28,33:32
