Quarter,Time,Down,ToGo,Location,HOU,OAK,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Raiders won the coin toss, Raiders to receive the opening kickoff.",,
1,15:00,,,HOU 30,0,0,"Kris Brown kicks off 75 yards, touchback",0.000,0.280
1,14:51,1,10,OAK 20,0,0,Justin Fargas middle for -1 yards (tackle by Glenn Earl),0.280,-0.460
1,14:26,2,11,OAK 19,0,0,Aaron Brooks pass complete short left to Randy Moss for 21 yards (tackle by Morlon Greenwood and DeMeco Ryans),-0.460,1.600
1,13:48,1,10,OAK 40,0,0,Aaron Brooks pass complete short middle to Ronald Curry for 12 yards (tackle by C.C. Brown and Anthony Weaver),1.600,2.390
1,13:06,1,10,HOU 48,0,0,Zack Crockett middle for 3 yards (tackle by Anthony Weaver),2.390,2.250
1,12:31,2,7,HOU 45,0,0,"Aaron Brooks right end for 5 yards (tackle by Morlon Greenwood). Penalty on John Madsen: Offensive Holding, 10 yards (no play)",2.250,0.900
1,12:05,2,17,OAK 45,6,0,"ReShard Lee left end for 13 yards (tackle by C.C. Brown). ReShard Lee fumbles (forced by C.C. Brown), recovered by Demarcus Faggins at HOU-42 and returned for 58 yards, touchdown",0.900,-7.000
1,,,,OAK 2,7,0,Kris Brown kicks extra point good,0.000,0.000
1,,,,HOU 30,7,0,"Kris Brown kicks off 75 yards, returned by Chris Carr for 39 yards (tackle by Dexter McCleon)",0.000,1.200
1,11:48,1,10,OAK 34,7,0,Justin Fargas left end for 5 yards (tackle by Anthony Weaver),1.200,1.330
1,11:11,2,5,OAK 39,7,0,Aaron Brooks pass complete short right to Ronald Curry for 12 yards (tackle by Dunta Robinson),1.330,2.320
1,10:38,1,10,HOU 49,7,0,Ronald Curry left end for 4 yards (tackle by Mario Williams),2.320,2.320
1,10:02,2,6,HOU 45,7,0,Aaron Brooks pass incomplete deep left intended for Alvis Whitted,2.320,1.620
1,9:53,3,6,HOU 45,7,0,Aaron Brooks pass incomplete (defended by Dunta Robinson),1.620,0.270
,,,,,,,"OAK challenged the ruling, and the original play was overturned.",,
1,9:50,4,6,HOU 45,7,0,"Shane Lechler punts 45 yards, touchback",0.270,-0.280
1,9:44,1,10,HOU 20,7,0,Wali Lundy left end for 6 yards (tackle by Sam Williams),0.280,0.610
1,9:11,2,4,HOU 27,7,0,Wali Lundy left end for 2 yards (tackle by Tommy Kelly),0.610,0.170
1,8:39,3,2,HOU 29,7,0,Wali Lundy middle for 4 yards (tackle by Kirk Morrison and Tommy Kelly),0.170,1.140
1,8:05,1,10,HOU 33,7,0,David Carr pass complete short right to Jeb Putzier for 1 yard (tackle by Thomas Howard),1.140,0.730
1,7:37,2,9,HOU 34,7,0,David Carr pass complete short right to Jeb Putzier for 5 yards (tackle by Thomas Howard),0.730,0.700
1,7:04,3,4,HOU 39,7,0,David Carr pass complete short right to Andre Johnson for 9 yards (tackle by Fabian Washington),0.700,2.130
1,6:24,1,10,HOU 48,7,0,Wali Lundy right end for 1 yard (tackle by Tommy Kelly and Thomas Howard),2.130,1.720
1,6:21,2,9,HOU 49,7,0,"Penalty on Eric Winston: False Start, 5 yards (no play)",1.720,1.040
1,5:26,2,14,HOU 44,7,0,David Carr pass complete short left to Wali Lundy for 7 yards (tackle by Nnamdi Asomugha),1.040,1.290
1,4:45,3,7,OAK 49,7,0,David Carr pass incomplete middle intended for Andre Johnson,1.290,0.000
1,4:39,4,7,OAK 49,7,0,"Chad Stanley punts 49 yards, touchback",0.000,-0.280
1,4:31,1,10,OAK 20,7,0,Aaron Brooks pass incomplete short middle intended for Randal Williams,0.280,-0.270
1,4:25,2,10,OAK 20,7,0,Justin Fargas middle for 5 yards (tackle by DeMeco Ryans),-0.270,-0.300
1,3:52,3,5,OAK 25,7,0,Aaron Brooks sacked by DeMeco Ryans for -8 yards,-0.300,-2.320
1,3:19,,,,7,0,Timeout #1 by Houston Texans,0.000,-2.320
1,3:19,4,13,OAK 17,7,0,"Shane Lechler punts 63 yards, returned by Dexter Wynn for 9 yards (tackle by Stuart Schweigert)",-2.320,-0.870
1,3:06,1,10,HOU 29,7,0,Andre Johnson left end for 7 yards (tackle by Tyler Brayton and Nnamdi Asomugha),0.870,1.270
1,2:25,2,3,HOU 36,7,0,David Carr pass complete short right to Eric Moulds for 3 yards (tackle by Fabian Washington),1.270,1.530
1,1:44,1,10,HOU 39,7,0,David Carr pass incomplete deep right intended for Eric Moulds,1.530,0.990
1,1:37,2,10,HOU 39,7,0,Ron Dayne left end for -3 yards (tackle by Terdell Sands),0.990,-0.100
1,0:56,,,,7,0,Timeout #2 by Houston Texans,0.000,-0.100
