Quarter,Time,Tm,Detail,GNB,HOU
1.0,11:34,Packers,Jordy Nelson 41 yard pass from Aaron Rodgers (Mason Crosby kick),7,0
,0:24,Packers,James Jones 6 yard pass from Aaron Rodgers (Mason Crosby kick),14,0
2.0,10:13,Texans,Arian Foster 1 yard rush (Shayne Graham kick),14,7
,6:45,Packers,Jordy Nelson 21 yard pass from Aaron Rodgers (Mason Crosby kick),21,7
,2:15,Texans,Shayne Graham 51 yard field goal,21,10
3.0,8:16,Packers,Jordy Nelson 1 yard pass from Aaron Rodgers (Mason Crosby kick),28,10
,0:17,Texans,Arian Foster 1 yard rush (Shayne Graham kick),28,17
4.0,14:46,Packers,Tom Crabtree 48 yard pass from Aaron Rodgers (Mason Crosby kick),35,17
,12:16,Packers,James Jones 18 yard pass from Aaron Rodgers (Mason Crosby kick),42,17
,5:30,Texans,DeVier Posey blocked punt recovery in end zone (Shayne Graham kick),42,24
