Unnamed: 0,SFO,CAR
First Downs,22,15
Rush-Yds-TDs,29-153-2,17-64-1
Cmp-Att-Yd-TD-INT,18-30-253-2-0,25-42-275-0-1
Sacked-Yards,2-9,6-31
Net Pass Yards,244,244
Total Yards,397,308
Fumbles-Lost,2-1,2-0
Turnovers,1,1
Penalties-Yards,9-50,5-33
Third Down Conv.,7-12,3-15
Fourth Down Conv.,0-0,3-5
Time of Possession,30:18,29:42
