Unnamed: 0,WAS,PHI
First Downs,27,22
Rush-Yds-TDs,28-84-1,25-54-0
Cmp-Att-Yd-TD-INT,30-48-427-3-1,27-41-325-3-0
Sacked-Yards,0-0,0-0
Net Pass Yards,427,325
Total Yards,511,379
Fumbles-Lost,1-0,2-1
Turnovers,1,1
Penalties-Yards,10-131,9-70
Third Down Conv.,8-15,4-11
Fourth Down Conv.,0-1,0-0
Time of Possession,34:48,25:12
