Quarter,Time,Tm,Detail,WAS,PHI
1.0,8:42,Redskins,Darrel Young 4 yard pass from Kirk Cousins (Kai Forbath kick),7,0
,8:29,Eagles,Chris Polk 102 yard kickoff return (Cody Parkey kick),7,7
,2:09,Redskins,Pierre Garcon 4 yard pass from Kirk Cousins (Kai Forbath kick),14,7
2.0,8:49,Redskins,Kai Forbath 49 yard field goal,17,7
,5:48,Eagles,Jordan Matthews 11 yard pass from Nick Foles (Cody Parkey kick),17,14
,1:15,Redskins,Kai Forbath 44 yard field goal,20,14
,0:09,Eagles,Jordan Matthews 11 yard pass from Nick Foles (Cody Parkey kick),20,21
3.0,12:03,Eagles,Cody Parkey 38 yard field goal,20,24
,8:04,Eagles,Cody Parkey 33 yard field goal,20,27
,2:04,Redskins,DeSean Jackson 81 yard pass from Kirk Cousins (Kai Forbath kick),27,27
4.0,7:34,Eagles,Jeremy Maclin 27 yard pass from Nick Foles (Cody Parkey kick),27,34
,5:55,Eagles,Cody Parkey 51 yard field goal,27,37
,4:16,Redskins,Roy Helu 1 yard rush (Kai Forbath kick),34,37
