Unnamed: 0,ATL,NYG
First Downs,20,18
Rush-Yds-TDs,37-216-3,19-124-1
Cmp-Att-Yd-TD-INT,9-23-65-1-0,27-44-211-0-2
Sacked-Yards,1-7,3-15
Net Pass Yards,58,196
Total Yards,274,320
Fumbles-Lost,1-0,4-2
Turnovers,0,4
Penalties-Yards,7-60,9-70
Third Down Conv.,4-12,4-13
Fourth Down Conv.,1-1,0-2
Time of Possession,30:09,29:51
