Unnamed: 0,TAM,CAR
First Downs,21,23
Rush-Yds-TDs,22-77-1,32-111-3
Cmp-Att-Yd-TD-INT,29-47-325-0-2,21-26-293-2-0
Sacked-Yards,2-16,4-38
Net Pass Yards,309,255
Total Yards,386,366
Fumbles-Lost,1-1,2-2
Turnovers,3,2
Penalties-Yards,5-65,7-33
Third Down Conv.,8-16,7-10
Fourth Down Conv.,1-2,0-0
Time of Possession,28:10,31:50
