Unnamed: 0,NYJ,DET
First Downs,23,21
Rush-Yds-TDs,30-110-1,28-78-1
Cmp-Att-Yd-TD-INT,22-39-336-1-1,20-37-240-2-0
Sacked-Yards,1-9,2-12
Net Pass Yards,327,228
Total Yards,437,306
Fumbles-Lost,5-1,1-0
Turnovers,2,0
Penalties-Yards,11-99,11-102
Third Down Conv.,5-13,5-15
Fourth Down Conv.,0-0,0-0
Time of Possession,29:32,32:46
