Quarter,Time,Tm,Detail,NYJ,DET
1,9:16,Lions,Brandon Pettigrew 10 yard pass from Matthew Stafford (Jason Hanson kick),0,7
2,4:46,Jets,Nick Folk 31 yard field goal,3,7
,1:00,Jets,Braylon Edwards 74 yard pass from Mark Sanchez (Nick Folk kick),10,7
3,8:58,Lions,Matthew Stafford 1 yard rush (Ndamukong Suh kick failed),10,13
4,11:51,Lions,Nate Burleson 2 yard pass from Matthew Stafford (Jason Hanson kick),10,20
,2:46,Jets,Mark Sanchez 1 yard rush (Nick Folk kick),17,20
,0:00,Jets,Nick Folk 36 yard field goal,20,20
OT,12:42,Jets,Nick Folk 30 yard field goal,23,20
