Quarter,Time,Tm,Detail,TEN,BUF
1.0,11:20,Bills,Rian Lindell 21 yard field goal,0,3
,7:54,Titans,Bobby Wade 22 yard pass from Vince Young (Rob Bironas kick),7,3
,2:30,Bills,Willis McGahee 1 yard rush (Rian Lindell kick),7,10
2.0,12:34,Titans,Rob Bironas 42 yard field goal,10,10
,9:15,Titans,Rob Bironas 20 yard field goal,13,10
,6:26,Bills,Rian Lindell 36 yard field goal,13,13
,1:01,Bills,Rian Lindell 45 yard field goal,13,16
,0:01,Titans,Vince Young 36 yard rush (Rob Bironas kick),20,16
,0:00,Bills,Rian Lindell 21 yard field goal,20,19
3.0,9:11,Bills,Lee Evans 37 yard pass from J.P. Losman (Rian Lindell kick),20,26
,0:30,Bills,Rian Lindell 24 yard field goal,20,29
4.0,11:14,Titans,Brandon Jones 29 yard pass from Vince Young (Rob Bironas kick),27,29
,2:10,Titans,Rob Bironas 30 yard field goal,30,29
