Unnamed: 0,TEN,BUF
First Downs,18,22
Rush-Yds-TDs,40-215-1,24-117-1
Cmp-Att-Yd-TD-INT,13-20-183-2-0,19-34-266-1-2
Sacked-Yards,1-2,3-15
Net Pass Yards,181,251
Total Yards,396,368
Fumbles-Lost,1-0,0-0
Turnovers,0,2
Penalties-Yards,11-81,5-50
Third Down Conv.,6-15,2-10
Fourth Down Conv.,1-1,1-2
Time of Possession,33:18,26:42
