Unnamed: 0,WAS,DAL
First Downs,19,20
Rush-Yds-TDs,31-123-2,25-171-0
Cmp-Att-Yd-TD-INT,25-30-299-0-1,21-34-278-2-0
Sacked-Yards,3-13,5-54
Net Pass Yards,286,224
Total Yards,409,395
Fumbles-Lost,0-0,4-2
Turnovers,1,2
Penalties-Yards,6-45,3-35
Third Down Conv.,6-14,5-12
Fourth Down Conv.,1-1,0-1
Time of Possession,38:12,28:37
