Quarter,Time,Down,ToGo,Location,BUF,MIA,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Bills won the coin toss and deferred, Dolphins to receive the opening kickoff.",,
1,15:00,,,BUF 35,0,0,"Rian Lindell kicks off 65 yards, touchback",0.000,0.280
1,15:00,1,10,MIA 20,0,0,Reggie Bush left tackle for 1 yard (tackle by George Wilson),0.280,-0.130
1,14:23,2,9,MIA 21,0,0,Ryan Tannehill pass complete short left to Anthony Fasano for 5 yards (tackle by Kelvin Sheppard),-0.130,-0.160
1,13:46,3,4,MIA 26,0,0,Ryan Tannehill pass complete short left to Reggie Bush for 14 yards (tackle by Bryan Scott),-0.160,1.600
1,13:22,1,10,MIA 40,0,0,"Reggie Bush left guard for no gain (tackle by Kyle Williams and Marcell Dareus). Penalty on Kyle Williams: Defensive Offside, 5 yards (no play)",1.600,2.330
1,13:01,1,5,MIA 45,0,0,Reggie Bush left guard for 4 yards (tackle by Marcell Dareus),2.330,2.270
1,12:21,2,1,MIA 49,0,0,Reggie Bush left guard for 10 yards (tackle by Jairus Byrd),2.270,2.850
1,11:39,1,10,BUF 41,0,0,Ryan Tannehill pass complete short left to Anthony Fasano for 7 yards (tackle by Kelvin Sheppard),2.850,3.250
1,11:08,2,3,BUF 34,0,0,Lamar Miller right tackle for 6 yards (tackle by Nick Barnett),3.250,3.710
1,10:32,1,10,BUF 28,0,0,Ryan Tannehill pass incomplete short left intended for Marlon Moore,3.710,3.170
1,10:27,2,10,BUF 28,0,0,Reggie Bush left tackle for no gain (tackle by Marcell Dareus),3.170,2.480
1,9:54,3,10,BUF 28,0,0,Ryan Tannehill pass incomplete short right intended for Brian Hartline,2.480,1.590
1,9:45,4,10,BUF 28,0,0,"Nate Kaeding 46 yard field goal no good, blocked by Alex Carrington",1.590,-1.400
1,9:37,1,10,BUF 37,0,0,Ryan Fitzpatrick pass complete short left to C.J. Spiller for 13 yards (tackle by Kevin Burnett),1.400,2.260
1,9:01,1,10,MIA 50,0,0,"Penalty on Kraig Urbik: False Start, 5 yards (no play)",2.260,1.930
1,8:33,1,15,BUF 45,0,0,Ryan Fitzpatrick pass complete deep left to Scott Chandler for 25 yards (tackle by Chris Clemons),1.930,3.580
1,7:59,1,10,MIA 30,0,0,C.J. Spiller right tackle for 5 yards (tackle by Kevin Burnett),3.580,3.710
1,7:23,2,5,MIA 25,0,0,"Ryan Fitzpatrick pass complete short right to Steve Johnson for 8 yards (tackle by Sean Smith). Steve Johnson fumbles (forced by Sean Smith), recovered by Reshad Jones at MIA-14 and returned for 24 yards (tackle by Ryan Fitzpatrick)",3.710,-1.470
,,,,,,,"Replay Assistant challenged the fumble ruling, and the play was upheld.",,
1,7:12,1,10,MIA 38,0,0,Reggie Bush up the middle for 9 yards (tackle by George Wilson),1.470,2.140
1,6:23,2,1,MIA 47,0,0,Lamar Miller right guard for 10 yards (tackle by George Wilson),2.140,2.720
1,5:48,1,10,BUF 43,0,0,Ryan Tannehill pass incomplete short right intended for Brian Hartline (defended by Nigel Bradham),2.720,2.180
1,5:43,2,10,BUF 43,0,0,Lamar Miller up the middle for 4 yards (tackle by Bryan Scott and Nick Barnett),2.180,2.010
1,5:08,3,6,BUF 39,0,0,Ryan Tannehill pass complete short right to Brian Hartline for 10 yards (tackle by Stephon Gilmore),2.010,3.640
1,4:47,1,10,BUF 29,0,0,Lamar Miller right end for 6 yards (tackle by Kelvin Sheppard),3.640,3.910
1,4:09,2,4,BUF 23,0,0,Lamar Miller left end for 3 yards (tackle by Justin Rogers),3.910,3.600
1,3:49,3,1,BUF 20,0,0,Reggie Bush up the middle for 3 yards (tackle by Mario Williams),3.600,4.440
1,3:02,1,10,BUF 17,0,6,"Ryan Tannehill pass complete short right to Reggie Bush for 17 yards, touchdown",4.440,7.000
,,,,,,,"Replay Assistant challenged the runner was in bounds ruling, and the play was upheld.",,
1,3:02,,,BUF 2,0,7,Nate Kaeding kicks extra point good,0.000,0.000
1,2:54,,,MIA 35,0,7,"Nate Kaeding kicks off 66 yards, returned by Brad Smith for 12 yards (tackle by Olivier Vernon)",0.000,-0.370
1,2:48,1,10,BUF 11,0,7,C.J. Spiller right tackle for 2 yards (tackle by Kevin Burnett),-0.370,-0.630
1,2:08,2,8,BUF 13,0,7,C.J. Spiller left end for 7 yards (tackle by Olivier Vernon),-0.630,0.000
1,1:25,,,,0,7,Timeout #1 by Miami Dolphins,0.000,-0.370
1,1:25,3,1,BUF 20,0,7,C.J. Spiller left guard for 2 yards (tackle by Dimitri Patterson),-0.370,0.410
1,0:44,1,10,BUF 22,0,7,Ryan Fitzpatrick pass incomplete short left intended for Steve Johnson,0.410,-0.130
1,0:37,2,10,BUF 22,0,7,"Penalty on Sam Young: False Start, 5 yards (no play)",-0.130,-0.940
1,0:37,2,15,BUF 17,0,7,Ryan Fitzpatrick pass complete short right to Dorin Dickerson for 22 yards (tackle by Chris Clemons),-0.940,1.530
Quarter,Time,Down,ToGo,Location,BUF,MIA,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,BUF 39,0,7,"Penalty on T.J. Graham: False Start, 5 yards (no play)",1.530,1.200
2,15:00,1,15,BUF 34,0,7,Ryan Fitzpatrick pass incomplete short right intended for Steve Johnson,1.200,0.310
2,14:55,2,15,BUF 34,0,7,C.J. Spiller left guard for 5 yards (tackle by Karlos Dansby),0.310,0.300
2,14:15,3,10,BUF 39,0,7,Ryan Fitzpatrick pass incomplete short middle intended for Dorin Dickerson,0.300,-0.780
2,14:11,4,10,BUF 39,0,7,"Shawn Powell punts 23 yards, out of bounds",-0.780,-1.470
2,14:02,1,10,MIA 38,0,7,Ryan Tannehill pass complete short middle to Rishard Matthews for 7 yards (tackle by Jairus Byrd),1.470,1.870
2,13:27,2,3,MIA 45,0,7,Reggie Bush right tackle for 2 yards (tackle by Shawne Merriman),1.870,1.420
2,12:47,3,1,MIA 47,0,7,Ryan Tannehill pass incomplete short middle intended for Anthony Fasano (defended by Da'Norris Searcy),1.420,-0.260
2,12:42,4,1,MIA 47,0,7,"Brandon Fields punts 43 yards, fair catch by Jairus Byrd",-0.260,0.370
2,12:35,1,10,BUF 11,0,7,C.J. Spiller up the middle for 4 yards (tackle by Kevin Burnett),-0.370,-0.430
2,12:00,2,6,BUF 15,0,7,C.J. Spiller right tackle for 62 yards (tackle by Sean Smith),-0.430,0.000
2,11:07,,,,0,7,Timeout #1 by Buffalo Bills,0.000,4.040
2,11:07,1,10,MIA 23,0,7,Ryan Fitzpatrick pass incomplete deep right intended for Steve Johnson,4.040,3.500
2,11:02,2,10,MIA 23,0,7,Tashard Choice right tackle for -3 yards (tackle by Randy Starks),3.500,2.410
2,10:25,3,13,MIA 26,0,7,Ryan Fitzpatrick right end for 2 yards (tackle by Jared Odrick),2.410,1.870
2,9:53,4,11,MIA 24,3,7,Rian Lindell 42 yard field goal good,1.870,3.000
2,9:48,,,BUF 35,3,7,"Rian Lindell kicks off 59 yards, returned by Marcus Thigpen for 28 yards (tackle by Nick Barnett)",0.000,1.200
2,9:43,1,10,MIA 34,3,7,Lamar Miller left tackle for 5 yards (tackle by Kelvin Sheppard),1.200,1.330
2,9:07,2,5,MIA 39,3,7,Ryan Tannehill left tackle for 6 yards (tackle by Kyle Moore),1.330,1.930
2,8:29,1,10,MIA 45,3,7,Ryan Tannehill pass incomplete short left intended for Brian Hartline (defended by Alex Carrington),1.930,1.380
2,8:23,2,10,MIA 45,3,7,Ryan Tannehill up the middle for 6 yards (tackle by Bryan Scott),1.380,1.490
2,7:40,3,4,BUF 49,3,7,Ryan Tannehill pass incomplete short left intended for Armon Binns,1.490,0.000
2,7:33,4,4,BUF 49,3,7,"Brandon Fields punts 41 yards, fair catch by Jairus Byrd",0.000,0.380
2,7:26,1,10,BUF 8,3,7,C.J. Spiller right guard for 5 yards (tackle by Kevin Burnett),-0.380,-0.410
2,6:43,2,5,BUF 13,3,7,Ryan Fitzpatrick pass incomplete deep left intended for T.J. Graham,-0.410,-0.840
2,6:36,3,5,BUF 13,3,7,Ryan Fitzpatrick pass incomplete short left intended for Dorin Dickerson,-0.840,-2.490
2,6:32,4,5,BUF 13,3,7,"Shawn Powell punts 42 yards, returned by Marcus Thigpen for 6 yards (tackle by George Wilson)",-2.490,-2.320
2,6:19,1,10,BUF 49,3,7,Ryan Tannehill pass incomplete deep right intended for Brian Hartline,2.320,1.780
2,6:11,2,10,BUF 49,3,7,Reggie Bush right tackle for 5 yards (tackle by Kelvin Sheppard),1.780,1.750
2,5:28,3,5,BUF 44,3,7,Ryan Tannehill pass incomplete short right intended for Brian Hartline,1.750,0.330
2,5:24,4,5,BUF 44,3,7,"Brandon Fields punts 44 yards, touchback",0.330,-0.280
2,5:16,1,10,BUF 20,3,7,C.J. Spiller right guard for 4 yards (tackle by Paul Soliai),0.280,0.270
2,4:32,2,6,BUF 24,3,7,C.J. Spiller left tackle for -1 yards (tackle by Cameron Wake),0.270,-0.560
2,3:50,3,7,BUF 23,3,7,Ryan Fitzpatrick pass complete short middle to C.J. Spiller for 2 yards (tackle by Dimitri Patterson),-0.560,-1.700
2,3:11,4,5,BUF 25,3,7,"Shawn Powell punts 60 yards, returned by Marcus Thigpen for 20 yards (tackle by Nigel Bradham)",-1.700,-1.270
2,2:59,1,10,MIA 35,3,7,Reggie Bush up the middle for 2 yards (tackle by Nick Barnett),1.270,0.990
2,2:22,2,8,MIA 37,3,7,Ryan Tannehill pass complete deep right to Rishard Matthews for 30 yards (tackle by Jairus Byrd),0.990,3.380
2,2:00,1,10,BUF 33,3,7,"Ryan Tannehill right end for 31 yards (tackle by Jairus Byrd). Ryan Tannehill fumbles (forced by Jairus Byrd), ball out of bounds at BUF-2",3.380,6.740
2,1:32,1,2,BUF 2,3,7,Reggie Bush right guard for 1 yard (tackle by George Wilson),6.740,0.000
2,0:46,,,,3,7,Timeout #2 by Miami Dolphins,0.000,5.910
2,0:46,2,1,BUF 1,3,13,"Reggie Bush left tackle for 1 yard, touchdown",5.910,7.000
2,0:46,,,BUF 2,3,14,Nate Kaeding kicks extra point good,0.000,0.000
2,0:42,,,MIA 35,3,14,"Nate Kaeding kicks off 65 yards, returned by Brad Smith for 20 yards (tackle by Jason Trusnik)",0.000,0.280
2,0:33,1,10,BUF 20,3,14,Ryan Fitzpatrick pass complete short right to Dorin Dickerson for 5 yards (tackle by Chris Clemons),0.280,0.000
2,0:23,,,,3,14,Timeout #2 by Buffalo Bills,0.000,0.410
2,0:23,2,5,BUF 25,3,14,"Penalty on Andy Levitre: False Start, 5 yards (no play)",0.410,-0.270
2,0:23,2,10,BUF 20,3,14,Ryan Fitzpatrick pass incomplete short middle intended for C.J. Spiller,-0.270,-0.960
2,0:19,3,10,BUF 20,3,14,C.J. Spiller right guard for 5 yards (tackle by Cameron Wake),-0.960,-1.700
Quarter,Time,Down,ToGo,Location,BUF,MIA,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,MIA 35,3,14,"Nate Kaeding kicks off 65 yards, touchback",0.000,0.280
3,15:00,1,10,BUF 20,3,14,C.J. Spiller left guard for 3 yards (tackle by Karlos Dansby),0.280,0.140
3,14:19,2,7,BUF 23,3,14,C.J. Spiller right end for 8 yards (tackle by Reshad Jones),0.140,1.000
3,13:37,1,10,BUF 31,3,14,C.J. Spiller up the middle for no gain (tackle by Karlos Dansby),1.000,0.460
3,12:56,2,10,BUF 31,3,14,"Ryan Fitzpatrick pass complete short right to Dorin Dickerson for 21 yards (tackle by Karlos Dansby). Dorin Dickerson fumbles (forced by Karlos Dansby), recovered by Chris Clemons at MIA-39 (tackle by T.J. Graham)",0.460,-1.330
,,,,,,,"Replay Assistant challenged the fumble ruling, and the play was upheld.",,
3,12:45,1,10,MIA 36,3,14,Lamar Miller left end for 28 yards (tackle by Bryan Scott),1.330,3.180
3,12:16,1,10,BUF 36,3,14,Ryan Tannehill pass incomplete short right intended for Lamar Miller (defended by Mario Williams),3.180,2.640
,,,,,,,"BUF challenged the incomplete pass ruling, and the play was upheld.",,
3,12:13,2,10,BUF 36,3,14,Reggie Bush right tackle for 8 yards (tackle by Stephon Gilmore),2.640,3.010
3,11:44,3,2,BUF 28,3,14,Reggie Bush right tackle for 3 yards (tackle by Kyle Williams),3.010,3.910
3,10:56,1,10,BUF 25,3,14,Ryan Tannehill pass incomplete short right intended for Marlon Moore,3.910,3.360
3,10:51,2,10,BUF 25,3,14,Reggie Bush left tackle for 5 yards (tackle by Kelvin Sheppard),3.360,3.340
3,10:06,3,5,BUF 20,3,14,Ryan Tannehill pass complete short right to Armon Binns for 6 yards (tackle by Justin Rogers),3.340,4.650
3,9:33,1,10,BUF 14,3,14,Reggie Bush up the middle for 2 yards (tackle by Nick Barnett),4.650,4.330
3,8:45,2,8,BUF 12,3,14,Ryan Tannehill pass incomplete short left intended for Rishard Matthews,4.330,3.430
